,acc1,acc2,acc3,acc4
59851,0;-1;-1,0;0;0,0;0;0,0;1;0
64487,,,,
64490,0;-1;-2,-2;0;0,0;-1;0,0;0;0
64751,,,,
64754,0;0;-1,0;0;0,0;0;0,0;1;0
65020,,,,
65022,-1;-1;-1,0;-1;0,0;0;0,0;0;0
65289,,,,
65292,0;0;0,0;0;-1,0;0;0,-1;0;-2
65565,,,,
65573,0;0;0,0;-2;1,0;1;1,0;0;0
65840,,,,
65843,0;0;0,0;1;0,0;0;-3,0;0;0
66110,,,,
66113,0;-1;0,1;0;-1,0;-1;-1,0;0;1
66390,,,,
66393,0;0;0,0;1;-2,0;-1;0,0;1;2
66655,,,,
66658,-1;0;0,0;1;0,0;1;-1,-1;0;1
66927,,,,
66930,1;0;-1,0;0;1,0;0;0,1;0;0
67197,,,,
67201,0;0;0,0;0;0,0;0;0,0;1;0
67467,,,,
67474,2;0;-1,0;1;0,0;0;1,0;0;0
67738,,,,
67740,0;0;-1,0;0;-2,0;2;-1,0;1;-1
68007,,,,
68009,0;2;0,0;0;-1,1;0;-1,0;0;-1
68280,,,,
68283,-1;0;1,0;2;0,0;0;1,0;1;-2
68556,,,,
68558,-1;0;0,0;1;-1,0;0;0,0;0;0
68826,,,,
68833,0;0;4,0;0;1,1;0;0,-1;0;0
69112,,,,
69115,0;0;-1,0;0;0,0;0;0,-2;0;1
69381,,,,
69384,0;0;1,0;0;0,-2;-1;1,-1;1;-2
69656,,,,
69658,0;1;-1,0;0;0,0;-1;0,-1;0;0
69919,,,,
69921,-1;0;0,-2;0;-1,0;-1;-2,-2;0;0
70201,,,,
70204,0;1;0,-1;0;0,0;1;-1,1;0;0
70481,,,,
70484,-2;0;-1,0;-2;-1,1;0;0,0;0;0
70751,,,,
70759,0;0;0,0;0;0,0;0;0,0;0;0
71020,,,,
71022,0;0;1,0;0;-1,0;-1;-1,1;-1;-2
71286,,,,
71288,-1;0;1,0;-1;-1,0;1;0,-1;0;-1
71559,,,,
71562,0;1;0,0;-2;0,1;0;1,0;-1;0
71835,,,,
71837,0;1;0,0;0;0,0;0;0,0;0;0
72113,,,,
72115,0;-1;-2,0;0;-1,0;0;0,0;2;0
72386,,,,
72388,0;1;1,0;1;0,0;0;-3,0;0;0
72654,,,,
72663,0;-1;0,0;-1;0,0;1;0,0;1;0
72935,,,,
72937,0;0;0,1;1;1,0;0;-1,0;0;-1
73197,,,,
73199,0;0;0,1;0;-1,1;0;-1,1;1;1
73474,,,,
73477,0;0;-1,0;1;-1,0;2;1,0;1;0
73745,,,,
73747,0;1;-1,0;0;-2,0;1;0,1;-2;-1
74016,,,,
74023,0;0;0,0;-1;-2,0;-1;-1,2;-2;0
74294,,,,
74296,0;0;0,0;0;1,1;0;0,0;0;0
74561,,,,
74569,-1;2;1,0;2;1,-1;0;-1,0;0;-1
74836,,,,
74840,0;0;0,1;1;0,0;0;0,0;3;0
75099,,,,
75102,0;0;0,0;0;0,0;0;0,-3;0;-1
75369,,,,
75371,-1;0;2,0;0;0,0;1;-2,0;1;0
75637,,,,
75640,0;0;1,0;0;1,1;1;1,0;0;0
75915,,,,
75923,0;0;0,0;0;0,0;-1;0,1;0;-2
76197,,,,
76200,0;0;0,1;0;0,0;0;1,-1;1;0
76465,,,,
76468,2;0;-2,1;0;-2,1;0;0,1;2;0
76746,,,,
76749,0;0;0,0;0;-1,0;0;0,0;1;-2
77014,,,,
77017,0;0;0,0;0;-2,0;0;-1,0;1;-1
77282,,,,
77285,0;1;0,0;0;-4,-1;0;0,-1;0;0
77551,,,,
77554,0;0;-2,1;1;0,0;-2;-1,0;0;0
77814,,,,
77957,0;0;0,-1;-1;0,1;0;0,0;0;-1
78221,,,,
78223,0;0;-1,0;1;-1,0;1;0,0;1;0
78496,,,,
78499,0;0;-1,0;0;0,0;-1;-2,-3;0;0
78778,,,,
78780,0;1;0,-2;0;1,2;-2;0,0;0;1
79040,,,,
79043,-2;0;0,1;0;0,0;0;0,0;0;1
79306,,,,
79313,0;0;0,0;0;2,0;0;0,0;1;0
79579,,,,
79581,0;0;-1,0;0;0,1;0;0,3;0;0
79854,,,,
79857,0;0;0,0;0;0,1;0;0,0;1;0
80130,,,,
80133,0;0;0,1;0;0,1;0;1,1;0;0
80406,,,,
80409,3;0;0,1;0;-2,1;1;0,0;3;0
80679,,,,
80681,0;0;-2,3;1;0,0;0;-1,1;-3;-1
80955,,,,
80957,0;0;-1,0;-1;0,0;0;0,1;3;0
81217,,,,
81226,0;2;0,0;0;0,2;0;-1,0;0;-1
81494,,,,
81496,0;0;0,1;0;0,0;0;-1,0;1;-1
81756,,,,
81758,0;1;-1,0;2;-1,0;1;-2,0;0;0
82030,,,,
82033,0;0;2,0;0;1,0;0;0,1;1;0
82315,,,,
82317,0;0;0,0;0;0,0;2;1,0;0;0
82581,,,,
82589,1;0;0,2;0;1,0;0;0,-2;0;0
82856,,,,
82860,1;0;0,0;2;0,0;1;0,0;0;-2
83120,,,,
83127,0;0;0,0;2;1,0;0;0,1;0;0
83394,,,,
83397,-1;0;0,0;0;0,0;0;0,0;0;-1
83658,,,,
83661,0;0;1,0;0;-1,0;0;0,0;0;0
83939,,,,
83942,-2;4;0,-1;0;0,0;1;0,2;0;-1
84215,,,,
84218,0;1;-1,1;0;-1,7;-4;-2,1;2;-1
84485,,,,
84492,1;-1;-2,-1;0;-1,0;0;0,0;0;1
84758,,,,
84761,0;0;-1,1;1;-1,0;0;-1,0;0;0
85021,,,,
85024,0;1;0,-1;0;0,0;1;0,1;0;0
85292,,,,
85294,1;0;0,0;1;2,0;0;0,-2;0;-3
85559,,,,
85562,1;0;0,0;0;0,0;1;0,0;1;0
85829,,,,
85831,0;0;-1,0;0;0,1;0;1,1;0;0
86097,,,,
86099,0;1;0,0;0;0,0;0;0,0;2;2
86361,,,,
86369,2;0;-2,0;0;1,1;-1;0,1;1;0
86635,,,,
86638,1;0;1,0;0;0,0;-1;-2,0;-1;-1
86918,,,,
86920,2;2;-1,2;0;-3,0;1;0,1;1;1
87193,,,,
87196,3;0;1,2;2;0,2;0;0,2;0;-1
87461,,,,
87464,5;0;-1,2;0;-2,2;0;0,2;0;1
87725,,,,
87733,2;0;1,3;0;-2,2;1;2,2;0;-3
87999,,,,
88002,3;1;1,2;0;0,3;0;0,3;0;1
88264,,,,
88267,3;-1;0,5;-1;0,4;1;0,4;0;1
88538,,,,
88541,6;-1;1,6;0;0,6;0;0,2;-2;0
88814,,,,
88816,7;-5;2,6;-3;2,3;-1;1,5;-1;0
89089,,,,
89092,5;-2;0,5;-3;-1,7;-2;0,4;-1;1
89358,,,,
89361,4;0;-1,5;0;0,8;-1;-2,5;-2;1
89627,,,,
89634,4;0;0,1;2;2,-2;4;6,1;4;2
89908,,,,
89911,1;1;1,1;-3;-7,-2;-3;-3,-1;-4;0
90177,,,,
90179,-1;2;2,3;2;-1,-1;7;0,4;1;0
90455,,,,
90458,3;0;-2,0;0;-2,0;-2;-2,-1;-2;1
90722,,,,
90724,0;-1;-1,-2;1;1,-1;0;0,5;0;-2
90996,,,,
90999,0;0;0,0;0;-2,0;0;-1,1;0;0
91272,,,,
91275,0;0;0,5;0;-1,1;2;0,3;0;0
91541,,,,
91549,4;-1;-1,5;3;0,4;2;1,5;1;0
91816,,,,
91820,2;-2;0,6;0;1,2;2;1,4;1;2
92092,,,,
92094,4;0;1,4;3;0,6;-2;0,5;-4;-2
92366,,,,
92369,4;1;0,7;-1;0,4;2;1,6;0;0
92645,,,,
92647,5;-3;2,2;0;0,1;0;0,4;0;-1
92920,,,,
92922,2;0;0,0;0;0,1;0;0,0;-1;-2
93194,,,,
93196,2;-2;0,1;0;1,0;0;0,0;1;0
93465,,,,
93473,2;1;0,0;-1;-3,0;-1;0,0;0;1
93744,,,,
93747,1;0;3,1;0;2,2;1;3,1;1;0
94016,,,,
94019,3;-1;-1,5;1;2,4;2;0,2;0;0
94289,,,,
94292,3;-2;-1,6;-1;-1,5;0;-3,2;0;0
94557,,,,
94559,2;0;0,2;0;1,1;0;3,0;-2;2
94836,,,,
94838,0;1;0,0;-4;0,2;-1;0,-1;-1;-3
95117,,,,
95119,-1;-1;0,-1;0;1,0;0;-2,-3;1;-1
95383,,,,
95392,-2;0;-2,-3;0;-5,-4;-2;-1,-4;-2;-1
95657,,,,
95661,-2;-1;0,-2;-2;-2,-3;-1;-3,-3;-2;0
95927,,,,
95929,0;0;-2,0;-3;0,0;-2;-3,-2;0;-1
96195,,,,
96198,0;-2;0,-2;-2;0,-1;-4;-3,0;-4;-1
96471,,,,
96474,0;-2;-2,-1;-2;0,-1;-1;-1,2;-1;0
96754,,,,
96757,0;0;-1,0;0;0,-2;0;6,-1;0;4
97021,,,,
97025,3;-3;0,0;-3;-2,3;-4;-3,1;-2;-1
97296,,,,
97304,1;-2;0,0;-4;1,0;-2;0,1;-4;0
97571,,,,
97574,0;-4;0,0;-3;0,-1;-1;0,-3;-2;2
97848,,,,
97850,0;-4;-4,-2;-1;-2,-2;-1;-2,0;-3;0
98209,,,,
98212,0;-2;-2,0;-2;-2,-2;-1;-2,1;-4;-1
98473,,,,
98477,0;-2;0,0;0;0,1;-4;-2,0;-1;0
98748,,,,
98751,0;-1;0,0;-1;1,-3;0;2,0;-2;1
99018,,,,
99021,2;-4;-1,0;-2;0,-1;-2;2,4;-3;0
99287,,,,
99295,7;-2;0,2;-2;0,4;-2;0,4;-3;1
99561,,,,
99564,2;-2;3,1;-3;0,0;-1;1,3;-4;0
99836,,,,
99844,3;-2;0,1;-1;0,2;-2;0,4;-3;4
100113,,,,
100116,5;-4;0,2;-2;1,4;-3;-1,4;-3;0
100395,,,,
100397,1;-5;0,4;-3;-1,2;0;1,1;-1;0
100669,,,,
100672,3;-2;2,3;-4;-3,4;-5;-1,3;-1;1
100937,,,,
