,utcdate,utctime,alt,speed_mph,n_sats
64487,2021-11-19,,184,234.256867,4
64751,2021-11-19,,184,200.702833,4
65020,2021-11-19,,185,301.364935,4
65289,2021-11-19,,186,0.0,4
65565,2021-11-19,,186,133.594765,4
65840,2021-11-19,,187,267.810901,4
66110,2021-11-19,,187,200.702833,4
66390,2021-11-19,,188,100.04073100000001,4
66655,2021-11-19,,188,133.594765,4
66927,2021-11-19,,188,133.594765,4
67197,2021-11-19,,189,32.932663,4
67467,2021-11-19,,189,32.932663,4
67738,2021-11-19,,189,167.148799,4
68007,2021-11-19,,189,133.594765,4
68280,2021-11-19,,189,0.0,4
68556,2021-11-19,,189,100.04073100000001,4
68826,2021-11-19,,189,100.04073100000001,4
69112,2021-11-19,,189,0.0,4
69381,2021-11-19,,190,200.702833,4
69656,2021-11-19,,191,200.702833,4
69919,2021-11-19,,191,100.04073100000001,4
70201,2021-11-19,,192,167.148799,4
70481,2021-11-19,,194,200.702833,4
70751,2021-11-19,,194,301.364935,4
71020,2021-11-19,,196,234.256867,4
71286,2021-11-19,,196,234.256867,4
71559,2021-11-19,,197,200.702833,4
71835,2021-11-19,,197,100.04073100000001,4
72113,2021-11-19,,197,100.04073100000001,4
72386,2021-11-19,,197,100.04073100000001,4
72654,2021-11-19,,197,167.148799,4
72935,2021-11-19,,197,133.594765,4
73197,2021-11-19,,197,167.148799,4
73474,2021-11-19,,197,167.148799,4
73745,2021-11-19,,197,167.148799,4
74016,2021-11-19,,197,66.486697,4
74294,2021-11-19,,195,267.810901,5
74561,2021-11-19,,194,100.04073100000001,5
74836,2021-11-19,,193,234.256867,5
75099,2021-11-19,,193,100.04073100000001,5
75369,2021-11-19,,193,100.04073100000001,5
75637,2021-11-19,,192,334.918969,5
75915,2021-11-19,,192,133.594765,5
76197,2021-11-19,,192,32.932663,5
76465,2021-11-19,,192,301.364935,5
76746,2021-11-19,,192,167.148799,5
77014,2021-11-19,,191,502.689139,5
77282,2021-11-19,,191,133.594765,5
77551,2021-11-19,,191,133.594765,5
77814,2021-11-19,,191,133.594765,5
78221,2021-11-19,,191,66.486697,5
78496,2021-11-19,,191,133.594765,5
78778,2021-11-19,,191,100.04073100000001,5
79040,2021-11-19,,191,200.702833,5
79306,2021-11-19,,191,670.459309,5
79579,2021-11-19,,191,402.027037,5
79854,2021-11-19,,191,301.364935,5
80130,2021-11-19,,191,234.256867,5
80406,2021-11-19,,191,301.364935,5
