,rpm,speed,throt_pos,engine_load,bat_volt
59851,902.0,0.0,17,27,14.63
64490,908.0,0.0,16,27,14.63
64754,909.0,0.0,16,27,14.57
65022,908.0,0.0,16,27,14.58
65292,910.0,0.0,16,27,14.6
65573,900.0,0.0,17,28,14.58
65843,892.0,0.0,17,28,14.56
66113,884.0,0.0,17,28,14.54
66393,895.0,0.0,17,27,14.58
66658,892.0,0.0,16,26,14.61
66930,903.0,0.0,16,26,14.6
67201,910.0,0.0,16,26,14.56
67474,920.0,0.0,16,25,14.57
67740,913.0,0.0,16,25,14.57
68009,890.0,0.0,16,27,14.61
68283,891.0,0.0,16,27,14.61
68558,879.0,0.0,16,28,14.63
68833,885.0,0.0,16,28,14.56
69115,880.0,0.0,17,27,14.56
69384,912.0,0.0,16,27,14.62
69658,909.0,0.0,16,27,14.63
69921,903.0,0.0,16,27,14.56
70204,911.0,0.0,16,27,14.6
70484,907.0,0.0,16,27,14.62
70759,902.0,0.0,16,27,14.58
71022,906.0,0.0,16,27,14.56
71288,901.0,0.0,17,28,14.62
71562,901.0,0.0,17,27,14.5
71837,897.0,0.0,17,28,14.52
72115,876.0,0.0,17,27,14.5
72388,903.0,0.0,16,27,14.52
72663,904.0,0.0,16,27,14.53
72937,905.0,0.0,16,26,14.53
73199,906.0,0.0,16,27,14.54
73477,896.0,0.0,16,26,14.53
73747,900.0,0.0,16,27,14.54
74023,890.0,0.0,16,27,14.52
74296,887.0,0.0,17,27,14.52
74569,889.0,0.0,17,28,14.48
74840,903.0,0.0,17,28,14.46
75102,890.0,0.0,17,27,14.5
75371,899.0,0.0,17,27,14.49
75640,907.0,0.0,16,26,14.46
75923,911.0,0.0,16,26,14.46
76200,911.0,0.0,16,27,14.46
76468,905.0,0.0,16,27,14.52
76749,895.0,0.0,16,27,14.48
77017,894.0,0.0,16,28,14.46
77285,896.0,0.0,16,27,14.52
77554,892.0,0.0,17,27,14.45
77957,885.0,0.0,17,27,14.45
