,index,acc1,acc2,acc3,acc4,duration
0,27033,0;0;3,0;0;-1,0;0;2,0;1;3,27033
1,27303,,,,,27303
2,27307,0;0;0,0;1;2,-1;0;2,1;0;-1,27307
3,27582,,,,,27582
4,27584,0;0;-1,0;1;2,-1;0;1,-1;0;0,27584
5,27853,,,,,27853
6,27855,1;0;0,0;0;2,-1;0;-1,0;0;-1,27855
7,28118,,,,,28118
8,28120,0;0;0,0;0;0,0;0;0,0;0;0,28120
9,28382,,,,,28382
10,28384,0;0;-1,0;0;0,0;0;-1,-2;0;0,28384
11,28648,,,,,28648
12,28665,0;0;0,-1;1;1,0;-1;0,0;-1;0,28665
13,28931,,,,,28931
14,28933,0;0;0,0;-1;2,0;0;-1,0;0;0,28933
15,29194,,,,,29194
16,29201,0;-1;0,0;0;1,0;0;0,0;0;1,29201
17,29468,,,,,29468
18,29471,0;-1;0,0;0;0,0;0;1,0;0;0,29471
19,29731,,,,,29731
20,29733,0;0;-1,0;0;1,0;0;0,0;1;1,29733
21,30004,,,,,30004
22,30020,-1;0;1,0;1;0,-1;0;1,-2;0;0,30020
23,30281,,,,,30281
24,30283,0;0;1,0;0;1,0;0;-1,0;0;1,30283
25,30554,,,,,30554
26,30561,0;0;0,0;0;4,-1;0;1,0;0;-2,30561
27,30823,,,,,30823
28,30826,0;0;-1,0;0;2,-1;0;1,-1;0;1,30826
29,31088,,,,,31088
30,31091,0;0;1,0;0;1,-1;1;1,0;0;-1,31091
31,31360,,,,,31360
32,31376,0;0;-1,0;0;0,0;0;0,-1;0;-1,31376
33,31645,,,,,31645
34,31648,1;0;0,0;0;0,0;0;0,0;0;-1,31648
35,31908,,,,,31908
36,31910,0;0;0,-2;0;-1,-1;0;0,0;0;-1,31910
37,32172,,,,,32172
38,32174,0;0;-1,-1;0;-1,-1;1;0,-1;1;1,32174
39,32434,,,,,32434
40,32436,0;-1;0,0;0;0,0;0;1,-1;0;0,32436
41,32696,,,,,32696
42,32718,1;0;0,0;0;-1,0;0;2,0;0;0,32718
43,32993,,,,,32993
44,32995,0;0;-1,-1;0;-1,0;0;1,0;1;1,32995
45,33261,,,,,33261
46,33264,0;0;0,0;0;1,0;0;2,0;-1;0,33264
47,33528,,,,,33528
48,33530,0;1;1,0;0;0,0;-1;0,0;0;0,33530
49,33798,,,,,33798
50,33800,0;0;0,0;0;-2,0;-1;0,0;0;0,33800
51,34061,,,,,34061
52,34064,0;0;-1,0;1;0,0;-1;0,0;0;-1,34064
53,34330,,,,,34330
54,34347,0;1;0,0;0;0,0;0;0,0;0;-1,34347
55,34611,,,,,34611
56,34614,0;0;0,0;0;-1,0;-1;0,0;0;0,34614
57,34878,,,,,34878
58,34880,0;0;2,0;0;0,0;0;2,0;0;0,34880
59,35150,,,,,35150
60,35152,-1;0;1,0;2;2,0;-1;2,-1;1;0,35152
61,35425,,,,,35425
62,35428,0;0;0,0;0;2,-1;0;0,0;0;0,35428
63,35693,,,,,35693
64,35709,0;-1;0,1;0;1,0;0;0,0;1;-1,35709
65,35975,,,,,35975
66,35978,0;0;2,0;0;0,-1;0;0,1;0;-1,35978
67,36237,,,,,36237
68,36244,1;0;0,0;0;1,0;-1;1,-1;0;0,36244
69,36513,,,,,36513
70,36515,-1;0;-1,0;0;0,0;0;1,0;0;0,36515
71,36775,,,,,36775
72,36777,0;0;1,0;0;1,0;0;0,0;0;1,36777
73,37044,,,,,37044
74,37061,0;-1;-1,0;0;0,0;-1;0,0;0;0,37061
75,37325,,,,,37325
76,37327,1;-1;0,0;0;-1,1;0;0,0;0;1,37327
77,37591,,,,,37591
78,37593,0;-1;-1,0;0;0,1;0;1,0;0;0,37593
79,37858,,,,,37858
80,37861,1;0;0,0;0;-1,0;0;0,0;0;0,37861
81,38133,,,,,38133
82,38135,-1;0;0,0;0;-1,1;0;0,0;1;0,38135
83,38396,,,,,38396
84,38419,0;0;2,0;0;1,0;0;2,0;1;0,38419
85,38677,,,,,38677
86,38679,0;0;1,0;0;1,0;0;0,0;-1;0,38679
87,38941,,,,,38941
88,38943,-1;0;0,0;0;1,0;0;-1,0;0;1,38943
89,39211,,,,,39211
90,39213,0;1;0,0;-2;0,0;0;0,0;0;1,39213
91,39473,,,,,39473
92,39476,0;0;0,0;0;-1,-1;0;-1,0;0;-1,39476
93,39735,,,,,39735
94,39757,0;0;0,-2;-1;-1,0;0;0,0;0;1,39757
95,40016,,,,,40016
96,40018,0;0;0,0;0;0,0;0;3,0;0;1,40018
97,40281,,,,,40281
98,40284,0;0;0,-1;-1;3,0;0;2,-1;0;2,40284
99,40547,,,,,40547
100,40549,-1;-1;1,0;-2;0,0;0;0,-1;0;0,40549
101,40817,,,,,40817
102,40819,0;0;0,0;-1;2,0;0;1,0;-1;2,40819
103,41081,,,,,41081
104,41083,0;0;3,-1;0;0,0;0;2,0;0;0,41083
105,41350,,,,,41350
106,41367,0;-1;1,0;0;0,0;0;0,0;0;0,41367
107,41632,,,,,41632
108,41634,0;-1;0,-1;0;0,-1;0;0,0;0;0,41634
109,41894,,,,,41894
110,41903,0;0;1,-1;0;0,0;0;0,-1;0;0,41903
111,42173,,,,,42173
112,42176,-1;0;0,1;0;1,0;0;0,0;-1;0,42176
113,42439,,,,,42439
114,42441,0;0;0,0;0;1,0;0;-2,0;0;0,42441
115,42707,,,,,42707
116,42725,0;0;0,0;0;0,0;0;-1,0;0;0,42725
117,42995,,,,,42995
118,42998,0;0;0,0;0;0,0;0;-2,0;0;1,42998
119,43270,,,,,43270
120,43272,0;0;0,-1;0;-1,0;0;-1,0;0;0,43272
121,43534,,,,,43534
122,43537,0;0;0,-1;0;0,0;0;-1,0;0;0,43537
123,43797,,,,,43797
124,43820,0;0;0,-1;0;0,-1;0;1,0;0;0,43820
125,44085,,,,,44085
126,44088,0;0;-1,0;0;1,1;0;1,0;-1;0,44088
127,44348,,,,,44348
128,44351,0;0;1,0;0;1,0;0;0,0;0;0,44351
129,44633,,,,,44633
130,44636,-1;-1;0,-1;-1;-1,-1;0;-1,-1;0;0,44636
131,44898,,,,,44898
132,44901,0;-1;0,1;-1;1,0;0;2,0;-1;1,44901
133,45168,,,,,45168
134,45186,0;0;0,0;0;1,0;0;0,0;0;0,45186
135,45463,,,,,45463
136,45465,0;0;0,0;0;0,0;0;-2,0;0;-1,45465
137,45734,,,,,45734
138,45743,0;0;1,0;-1;0,0;0;0,0;-1;0,45743
139,46012,,,,,46012
140,46015,0;0;1,-1;0;1,0;1;3,-1;0;1,46015
141,46274,,,,,46274
142,46276,0;0;1,0;0;1,0;0;0,0;0;1,46276
143,46543,,,,,46543
144,46561,0;0;-1,0;-1;-2,-1;0;0,0;0;1,46561
145,46825,,,,,46825
146,46827,-1;-1;-1,-1;0;0,-1;-1;0,0;-1;0,46827
147,47093,,,,,47093
148,47100,-1;-1;0,-1;0;0,0;0;-1,0;-1;0,47100
149,47363,,,,,47363
150,47366,0;0;0,0;-2;-1,0;0;1,-1;0;0,47366
151,47626,,,,,47626
152,47629,0;0;-2,0;0;0,0;-1;-1,0;-1;0,47629
153,47901,,,,,47901
154,47919,0;0;0,0;0;0,0;0;0,0;1;0,47919
155,48189,,,,,48189
156,48191,0;0;0,0;0;1,0;0;1,0;0;0,48191
157,48456,,,,,48456
158,48459,0;0;0,0;0;0,0;0;0,1;0;0,48459
159,48727,,,,,48727
160,48730,0;0;0,0;0;-2,0;-1;0,-1;0;0,48730
161,49002,,,,,49002
162,49025,0;-2;0,0;-1;0,0;1;1,-1;-1;3,49025
163,49290,,,,,49290
164,49292,0;0;0,0;0;1,0;0;1,0;0;1,49292
165,49553,,,,,49553
166,49555,-1;-1;0,-1;0;0,-1;-1;3,0;0;3,49555
167,49828,,,,,49828
168,49831,0;-1;1,-1;-1;0,-1;0;-2,0;0;0,49831
169,50104,,,,,50104
170,50106,0;0;0,1;0;0,0;0;0,0;0;0,50106
171,50379,,,,,50379
