,index,rpm,speed,throt_pos,engine_load,bat_volt,duration,trip_id,utcdate
0,27033,909.0,0.0,19,35,14.65,27033,1,2021-10-25
1,27307,921.0,0.0,19,35,14.64,27307,1,2021-10-25
2,27584,894.0,0.0,19,34,14.65,27584,1,2021-10-25
3,27855,891.0,0.0,19,35,14.64,27855,1,2021-10-25
4,28120,900.0,0.0,19,36,14.65,28120,1,2021-10-25
5,28384,891.0,0.0,19,36,14.65,28384,1,2021-10-25
6,28665,901.0,0.0,19,36,14.56,28665,1,2021-10-25
7,28933,907.0,0.0,18,36,14.62,28933,1,2021-10-25
8,29201,913.0,0.0,18,34,14.63,29201,1,2021-10-25
9,29471,904.0,0.0,18,34,14.58,29471,1,2021-10-25
10,29733,900.0,0.0,18,34,14.66,29733,1,2021-10-25
11,30020,905.0,0.0,19,35,14.66,30020,1,2021-10-25
12,30283,915.0,0.0,18,34,14.6,30283,1,2021-10-25
13,30561,910.0,0.0,19,36,14.61,30561,1,2021-10-25
14,30826,897.0,0.0,19,35,14.64,30826,1,2021-10-25
15,31091,902.0,0.0,18,34,14.62,31091,1,2021-10-25
16,31376,904.0,0.0,18,34,14.67,31376,1,2021-10-25
17,31648,910.0,0.0,18,34,14.64,31648,1,2021-10-25
18,31910,889.0,0.0,18,34,14.64,31910,1,2021-10-25
19,32174,891.0,0.0,18,34,14.63,32174,1,2021-10-25
20,32436,882.0,0.0,18,35,14.61,32436,1,2021-10-25
21,32718,897.0,0.0,18,34,14.58,32718,1,2021-10-25
22,32995,919.0,0.0,18,34,14.63,32995,1,2021-10-25
23,33264,906.0,0.0,18,34,14.63,33264,1,2021-10-25
24,33530,915.0,0.0,18,34,14.61,33530,1,2021-10-25
25,33800,894.0,0.0,18,34,14.58,33800,1,2021-10-25
26,34064,898.0,0.0,18,34,14.57,34064,1,2021-10-25
27,34347,909.0,0.0,18,34,14.6,34347,1,2021-10-25
28,34614,909.0,0.0,18,34,14.58,34614,1,2021-10-25
29,34880,908.0,0.0,18,34,14.57,34880,1,2021-10-25
30,35152,908.0,0.0,18,34,14.54,35152,1,2021-10-25
31,35428,902.0,0.0,18,34,14.6,35428,1,2021-10-25
32,35709,899.0,0.0,18,34,14.63,35709,1,2021-10-25
33,35978,909.0,0.0,18,33,14.6,35978,1,2021-10-25
34,36244,903.0,0.0,18,33,14.56,36244,1,2021-10-25
35,36515,911.0,0.0,18,34,14.54,36515,1,2021-10-25
36,36777,904.0,0.0,18,34,14.54,36777,1,2021-10-25
37,37061,909.0,0.0,18,33,14.57,37061,1,2021-10-25
38,37327,885.0,0.0,18,34,14.44,37327,1,2021-10-25
39,37593,877.0,0.0,18,34,14.54,37593,1,2021-10-25
40,37861,890.0,0.0,18,34,14.56,37861,1,2021-10-25
41,38135,902.0,0.0,18,33,14.56,38135,1,2021-10-25
42,38419,919.0,0.0,18,32,14.58,38419,1,2021-10-25
43,38679,905.0,0.0,18,32,14.56,38679,1,2021-10-25
44,38943,891.0,0.0,18,35,14.58,38943,1,2021-10-25
45,39213,890.0,0.0,18,33,14.56,39213,1,2021-10-25
46,39476,895.0,0.0,18,34,14.54,39476,1,2021-10-25
47,39757,917.0,0.0,18,33,14.5,39757,1,2021-10-25
48,40018,918.0,0.0,18,33,14.5,40018,1,2021-10-25
49,40284,897.0,0.0,18,34,14.5,40284,1,2021-10-25
50,40549,902.0,0.0,18,33,14.48,40549,1,2021-10-25
51,40819,893.0,0.0,18,34,14.53,40819,1,2021-10-25
52,41083,895.0,0.0,18,34,14.46,41083,1,2021-10-25
53,41367,898.0,0.0,18,34,14.5,41367,1,2021-10-25
54,41634,903.0,0.0,18,33,14.52,41634,1,2021-10-25
55,41903,891.0,0.0,18,33,14.56,41903,1,2021-10-25
56,42176,901.0,0.0,18,34,14.58,42176,1,2021-10-25
57,42441,895.0,0.0,18,34,14.57,42441,1,2021-10-25
58,42725,890.0,0.0,18,34,14.5,42725,1,2021-10-25
59,42998,901.0,0.0,18,33,14.56,42998,1,2021-10-25
60,43272,896.0,0.0,18,34,14.54,43272,1,2021-10-25
61,43537,908.0,0.0,18,33,14.5,43537,1,2021-10-25
62,43820,929.0,0.0,18,35,14.5,43820,1,2021-10-25
63,44088,898.0,0.0,18,34,14.5,44088,1,2021-10-25
64,44351,900.0,0.0,18,34,14.49,44351,1,2021-10-25
65,44636,891.0,0.0,18,33,14.5,44636,1,2021-10-25
66,44901,891.0,0.0,18,34,14.5,44901,1,2021-10-25
67,45186,905.0,0.0,18,33,14.5,45186,1,2021-10-25
68,45465,913.0,0.0,18,33,14.56,45465,1,2021-10-25
69,45743,895.0,0.0,18,32,14.46,45743,1,2021-10-25
70,46015,891.0,0.0,18,34,14.56,46015,1,2021-10-25
71,46276,893.0,0.0,18,33,14.52,46276,1,2021-10-25
72,46561,903.0,0.0,18,33,14.49,46561,1,2021-10-25
73,46827,896.0,0.0,18,34,14.54,46827,1,2021-10-25
74,47100,895.0,0.0,18,33,14.48,47100,1,2021-10-25
75,47366,917.0,0.0,18,33,14.46,47366,1,2021-10-25
76,47629,905.0,0.0,18,34,14.46,47629,1,2021-10-25
77,47919,897.0,0.0,18,33,14.46,47919,1,2021-10-25
78,48191,900.0,0.0,18,34,14.46,48191,1,2021-10-25
79,48459,901.0,0.0,18,33,14.42,48459,1,2021-10-25
80,48730,900.0,0.0,18,33,14.46,48730,1,2021-10-25
81,49025,904.0,0.0,18,33,14.46,49025,1,2021-10-25
82,49292,909.0,0.0,18,34,14.39,49292,1,2021-10-25
83,49555,895.0,0.0,18,34,14.41,49555,1,2021-10-25
84,49831,900.0,0.0,18,33,14.46,49831,1,2021-10-25
85,50106,901.0,0.0,18,34,14.46,50106,1,2021-10-25
86,50397,894.0,0.0,18,32,14.41,50397,1,2021-10-25
87,50668,899.0,0.0,18,33,14.45,50668,1,2021-10-25
88,50945,905.0,0.0,18,34,14.41,50945,1,2021-10-25
89,51215,897.0,0.0,18,33,14.4,51215,1,2021-10-25
90,51485,890.0,0.0,18,33,14.46,51485,1,2021-10-25
91,51780,898.0,0.0,18,33,14.44,51780,1,2021-10-25
92,52045,873.0,0.0,18,33,14.48,52045,1,2021-10-25
93,52313,898.0,0.0,18,33,14.37,52313,1,2021-10-25
94,52584,911.0,0.0,18,33,14.42,52584,1,2021-10-25
95,52858,907.0,0.0,18,32,14.45,52858,1,2021-10-25
96,53155,903.0,0.0,18,32,14.42,53155,1,2021-10-25
97,53422,906.0,0.0,18,33,14.37,53422,1,2021-10-25
98,53690,903.0,0.0,18,33,14.4,53690,1,2021-10-25
99,53959,899.0,0.0,18,33,14.45,53959,1,2021-10-25
100,54248,913.0,0.0,18,32,14.4,54248,1,2021-10-25
101,54528,915.0,0.0,18,32,14.42,54528,1,2021-10-25
102,54798,906.0,0.0,18,32,14.39,54798,1,2021-10-25
103,55075,904.0,0.0,18,32,14.38,55075,1,2021-10-25
104,55346,893.0,0.0,18,32,14.38,55346,1,2021-10-25
105,55631,884.0,0.0,18,32,14.45,55631,1,2021-10-25
106,55899,900.0,0.0,18,32,14.4,55899,1,2021-10-25
107,56179,893.0,0.0,18,31,14.41,56179,1,2021-10-25
108,56450,895.0,0.0,18,32,14.37,56450,1,2021-10-25
109,56718,895.0,0.0,18,32,14.44,56718,1,2021-10-25
110,57009,895.0,0.0,18,32,14.42,57009,1,2021-10-25
111,57275,890.0,0.0,18,32,14.33,57275,1,2021-10-25
112,57542,897.0,0.0,18,33,14.35,57542,1,2021-10-25
113,57807,899.0,0.0,18,32,14.37,57807,1,2021-10-25
114,58076,900.0,0.0,18,32,14.35,58076,1,2021-10-25
115,58365,896.0,0.0,18,32,14.34,58365,1,2021-10-25
116,58639,905.0,0.0,18,32,14.31,58639,1,2021-10-25
117,58906,892.0,0.0,18,31,14.34,58906,1,2021-10-25
118,59176,899.0,0.0,18,32,14.37,59176,1,2021-10-25
119,59460,894.0,0.0,18,32,14.37,59460,1,2021-10-25
120,59728,880.0,0.0,18,32,14.33,59728,1,2021-10-25
121,59997,896.0,0.0,18,33,14.4,59997,1,2021-10-25
122,60275,887.0,0.0,18,32,14.36,60275,1,2021-10-25
123,60540,895.0,0.0,18,32,14.38,60540,1,2021-10-25
124,60824,907.0,0.0,18,32,14.36,60824,1,2021-10-25
125,61091,902.0,0.0,18,32,14.33,61091,1,2021-10-25
126,61353,903.0,0.0,18,32,14.33,61353,1,2021-10-25
127,61617,890.0,0.0,18,33,14.32,61617,1,2021-10-25
128,61880,899.0,0.0,18,32,14.33,61880,1,2021-10-25
129,62163,899.0,0.0,18,32,14.36,62163,1,2021-10-25
130,62437,912.0,0.0,18,32,14.34,62437,1,2021-10-25
131,62704,914.0,0.0,18,32,14.29,62704,1,2021-10-25
132,62968,901.0,0.0,18,32,14.41,62968,1,2021-10-25
133,63237,898.0,0.0,18,32,14.31,63237,1,2021-10-25
134,63533,905.0,0.0,18,32,14.35,63533,1,2021-10-25
135,63807,909.0,0.0,18,30,14.33,63807,1,2021-10-25
136,64073,914.0,0.0,18,31,14.32,64073,1,2021-10-25
137,64345,899.0,0.0,18,31,14.28,64345,1,2021-10-25
138,64627,879.0,0.0,18,32,14.35,64627,1,2021-10-25
139,64894,892.0,0.0,18,32,14.31,64894,1,2021-10-25
140,65158,902.0,0.0,18,31,14.34,65158,1,2021-10-25
141,65434,898.0,0.0,18,32,14.32,65434,1,2021-10-25
142,65705,901.0,0.0,18,31,14.34,65705,1,2021-10-25
143,65991,908.0,0.0,18,32,14.34,65991,1,2021-10-25
144,66272,916.0,0.0,18,32,14.31,66272,1,2021-10-25
145,66541,902.0,0.0,18,31,14.28,66541,1,2021-10-25
146,66809,906.0,0.0,18,31,14.31,66809,1,2021-10-25
147,67079,905.0,0.0,18,32,14.37,67079,1,2021-10-25
148,67388,890.0,0.0,18,32,14.33,67388,1,2021-10-25
149,67660,895.0,0.0,18,31,14.29,67660,1,2021-10-25
150,67933,902.0,0.0,18,31,14.31,67933,1,2021-10-25
151,68199,900.0,0.0,18,31,14.31,68199,1,2021-10-25
152,68473,903.0,0.0,18,31,14.31,68473,1,2021-10-25
153,68759,889.0,0.0,18,32,14.31,68759,1,2021-10-25
154,69030,905.0,0.0,18,31,14.36,69030,1,2021-10-25
155,69304,893.0,0.0,18,31,14.34,69304,1,2021-10-25
156,69569,902.0,0.0,18,31,14.31,69569,1,2021-10-25
157,69872,900.0,0.0,18,32,14.34,69872,1,2021-10-25
158,70137,906.0,0.0,18,30,14.29,70137,1,2021-10-25
159,70414,903.0,0.0,18,30,14.36,70414,1,2021-10-25
160,70688,900.0,0.0,18,30,14.33,70688,1,2021-10-25
161,70961,907.0,0.0,18,30,14.29,70961,1,2021-10-25
162,71255,896.0,0.0,18,31,14.31,71255,1,2021-10-25
163,71527,899.0,0.0,18,32,14.29,71527,1,2021-10-25
164,71789,904.0,0.0,18,31,14.32,71789,1,2021-10-25
165,72065,903.0,0.0,18,31,14.35,72065,1,2021-10-25
166,72328,896.0,0.0,18,31,14.31,72328,1,2021-10-25
167,72616,905.0,0.0,18,31,14.32,72616,1,2021-10-25
168,72891,900.0,0.0,18,31,14.34,72891,1,2021-10-25
169,73158,899.0,0.0,18,31,14.35,73158,1,2021-10-25
170,73428,900.0,0.0,18,32,14.31,73428,1,2021-10-25
171,73698,899.0,0.0,18,31,14.29,73698,1,2021-10-25
172,73989,899.0,0.0,18,30,14.34,73989,1,2021-10-25
173,74255,908.0,0.0,18,30,14.29,74255,1,2021-10-25
174,74522,905.0,0.0,18,30,14.35,74522,1,2021-10-25
175,74792,910.0,0.0,18,30,14.27,74792,1,2021-10-25
176,75056,902.0,0.0,18,30,14.27,75056,1,2021-10-25
177,75344,898.0,0.0,18,30,14.32,75344,1,2021-10-25
178,75619,900.0,0.0,18,30,14.36,75619,1,2021-10-25
179,75885,893.0,0.0,18,31,14.32,75885,1,2021-10-25
180,76156,892.0,0.0,18,31,14.31,76156,1,2021-10-25
181,76438,889.0,0.0,18,31,14.27,76438,1,2021-10-25
182,76707,891.0,0.0,18,31,14.29,76707,1,2021-10-25
183,76984,900.0,0.0,18,30,14.29,76984,1,2021-10-25
184,77270,899.0,0.0,18,30,14.27,77270,1,2021-10-25
185,77533,899.0,0.0,18,30,14.32,77533,1,2021-10-25
186,77815,904.0,0.0,18,30,14.34,77815,1,2021-10-25
187,78084,898.0,0.0,18,30,14.34,78084,1,2021-10-25
188,78358,880.0,0.0,18,31,14.34,78358,1,2021-10-25
189,78626,884.0,0.0,18,31,14.35,78626,1,2021-10-25
190,78897,888.0,0.0,18,31,14.35,78897,1,2021-10-25
