,acc1,acc2,acc3,acc4,duration
4123,-1;0;-1,0;-1;0,0;0;0,0;0;0,4123
4398,,,,,4398
4401,-1;0;1,0;-2;0,0;0;-1,0;0;-1,4401
4660,,,,,4660
4662,1;0;1,-2;-1;0,0;-1;0,0;0;0,4662
4929,,,,,4929
4932,0;0;0,0;0;0,1;0;-1,-1;0;-1,4932
5197,,,,,5197
5200,0;0;2,0;0;0,0;-1;-1,0;0;0,5200
5460,,,,,5460
5464,-1;0;0,0;-1;0,0;0;-2,1;0;0,5464
5724,,,,,5724
5740,0;0;0,0;0;1,-2;0;1,0;1;1,5740
6010,,,,,6010
6013,0;-1;0,-1;0;0,0;0;1,0;2;2,6013
6280,,,,,6280
6282,0;0;0,-2;0;0,0;0;1,0;0;-1,6282
6549,,,,,6549
6552,2;0;-1,0;0;-1,0;0;0,0;0;2,6552
6812,,,,,6812
6815,0;0;0,0;0;0,0;0;-1,0;0;0,6815
7089,,,,,7089
7105,0;-1;-1,0;0;0,0;0;0,0;0;0,7105
7374,,,,,7374
7377,-1;0;-1,0;0;0,-1;1;0,0;0;0,7377
7638,,,,,7638
7646,-1;0;0,0;0;-1,0;0;0,0;0;1,7646
7913,,,,,7913
7916,-1;0;0,0;0;-1,0;0;-2,0;0;0,7916
8188,,,,,8188
8192,0;0;0,-1;-1;0,0;0;-1,0;0;-1,8192
8459,,,,,8459
8475,0;0;0,0;1;1,0;1;0,0;0;0,8475
8738,,,,,8738
8741,-1;1;0,0;0;1,0;0;1,0;0;0,8741
9001,,,,,9001
9010,0;0;0,0;0;0,-1;0;0,0;0;2,9010
9278,,,,,9278
9281,-1;0;-1,0;0;0,0;0;1,-1;0;1,9281
9545,,,,,9545
9548,0;0;0,-1;0;0,-1;0;0,0;-1;-1,9548
9815,,,,,9815
9831,0;0;0,-2;0;0,0;0;0,1;0;1,9831
10102,,,,,10102
10105,0;0;-1,0;0;0,0;0;-1,0;0;0,10105
10379,,,,,10379
10387,-1;0;0,0;1;0,0;0;0,0;-1;0,10387
10653,,,,,10653
10656,0;0;0,0;0;0,-1;0;-1,0;0;0,10656
10923,,,,,10923
10925,0;1;-1,0;0;0,0;0;-1,0;0;-1,10925
11197,,,,,11197
11214,0;0;-1,0;0;0,0;0;0,0;1;2,11214
11479,,,,,11479
11481,0;0;0,0;0;0,0;0;2,0;0;1,11481
11742,,,,,11742
11750,-2;-1;0,0;0;-1,0;0;-1,0;0;0,11750
12017,,,,,12017
12020,0;0;-1,-1;-1;0,0;0;0,0;0;-1,12020
12279,,,,,12279
12301,0;0;-1,0;0;0,0;-1;0,0;0;0,12301
12569,,,,,12569
12572,0;0;0,0;1;0,-1;1;1,0;0;0,12572
12837,,,,,12837
12840,0;0;0,0;0;1,0;2;0,0;0;0,12840
13111,,,,,13111
13114,0;0;-1,0;1;0,0;0;0,0;0;0,13114
13380,,,,,13380
13383,0;0;0,0;0;0,0;0;0,-1;0;2,13383
13643,,,,,13643
13665,0;0;1,0;0;1,-1;0;1,0;0;1,13665
13939,,,,,13939
13942,0;0;0,0;0;1,-1;0;0,0;0;1,13942
14209,,,,,14209
14211,0;-1;0,0;0;0,0;0;0,-1;0;-1,14211
14494,,,,,14494
14497,0;1;0,0;0;0,0;0;0,-2;0;0,14497
14764,,,,,14764
14766,0;0;0,0;0;1,0;0;0,-1;0;0,14766
15037,,,,,15037
15053,0;-1;0,0;0;-2,0;0;-2,0;0;-1,15053
15321,,,,,15321
15323,0;1;1,0;0;0,0;0;-2,0;0;0,15323
15583,,,,,15583
15592,0;0;1,0;0;0,0;-1;0,0;0;-1,15592
15858,,,,,15858
15861,0;0;0,0;0;0,0;0;0,0;1;-1,15861
16121,,,,,16121
16123,0;0;0,0;0;0,0;0;0,0;0;0,16123
16392,,,,,16392
16409,1;0;-1,0;-1;0,0;0;0,0;0;1,16409
16671,,,,,16671
16673,-1;-1;0,-2;0;0,-1;0;0,0;0;0,16673
16934,,,,,16934
16943,0;0;0,0;1;0,-1;0;0,0;0;0,16943
17209,,,,,17209
17212,0;0;0,0;0;0,0;0;1,-1;1;0,17212
17472,,,,,17472
17475,0;0;0,0;0;0,1;0;1,-2;1;1,17475
17748,,,,,17748
17765,-1;1;1,0;0;0,0;0;0,0;0;1,17765
18035,,,,,18035
18038,0;0;0,0;0;0,0;0;1,0;-1;0,18038
18304,,,,,18304
18307,0;1;0,0;0;0,0;0;0,-1;0;-1,18307
18588,,,,,18588
18591,0;-1;0,0;0;0,0;0;0,0;-1;0,18591
18861,,,,,18861
18883,0;0;0,0;0;0,-1;1;0,-1;0;-1,18883
19149,,,,,19149
19152,0;0;0,0;0;0,0;0;0,-1;0;0,19152
19411,,,,,19411
19414,-1;0;0,0;0;0,0;0;0,0;0;0,19414
19688,,,,,19688
19691,1;0;0,0;0;0,0;0;-1,0;0;0,19691
19962,,,,,19962
19964,0;1;0,0;-1;0,1;0;0,0;0;-1,19964
20231,,,,,20231
20252,0;0;0,0;0;-1,0;0;-1,0;0;-1,20252
20530,,,,,20530
20533,0;0;1,0;0;0,0;0;2,0;0;0,20533
20800,,,,,20800
20803,0;0;1,0;1;1,-1;1;2,-1;0;1,20803
21078,,,,,21078
21081,0;0;0,0;0;0,-1;1;0,0;0;0,21081
21351,,,,,21351
21354,0;0;0,0;0;0,-1;0;1,0;0;0,21354
21634,,,,,21634
21650,0;1;0,0;0;1,0;0;0,0;0;-1,21650
21929,,,,,21929
21932,-1;0;3,0;0;2,0;0;1,0;1;0,21932
22202,,,,,22202
22210,0;0;0,1;0;-1,0;0;1,0;0;0,22210
22478,,,,,22478
22480,-1;0;0,0;-1;0,0;1;0,0;0;0,22480
22749,,,,,22749
22752,0;-2;-1,0;0;0,0;0;-1,0;0;0,22752
23015,,,,,23015
23032,0;1;1,0;1;2,-1;0;0,0;0;1,23032
23301,,,,,23301
23304,0;-1;0,0;0;0,0;1;1,0;0;0,23304
23578,,,,,23578
23586,-1;0;0,0;0;-1,1;0;0,0;0;1,23586
23851,,,,,23851
23854,0;0;0,0;0;0,0;0;-1,0;0;0,23854
24123,,,,,24123
24144,0;0;0,1;0;0,0;0;0,0;1;0,24144
24417,,,,,24417
24420,0;0;-1,0;0;-1,0;0;0,0;0;2,24420
24680,,,,,24680
24683,0;0;0,1;0;0,0;0;0,0;0;0,24683
24954,,,,,24954
24957,-1;0;0,0;0;0,0;0;0,0;0;0,24957
25224,,,,,25224
25227,0;0;0,1;0;0,1;0;1,0;0;0,25227
25500,,,,,25500
25522,0;0;0,0;0;1,1;0;0,-1;0;-2,25522
25788,,,,,25788
25791,0;0;0,0;1;0,0;0;1,-1;0;0,25791
26057,,,,,26057
26059,0;0;0,0;0;-1,0;0;0,-1;-1;0,26059
26331,,,,,26331
26334,0;1;2,0;1;3,0;-1;0,0;0;0,26334
26607,,,,,26607
26609,0;0;0,0;0;0,0;1;1,0;0;0,26609
26887,,,,,26887
26903,0;0;0,0;0;0,0;0;0,0;0;-1,26903
27177,,,,,27177
27181,0;0;0,0;1;0,1;0;0,0;0;0,27181
27445,,,,,27445
27454,0;0;0,0;1;-1,1;1;1,0;0;0,27454
27720,,,,,27720
27722,0;0;1,0;0;0,0;0;0,0;-1;3,27722
27982,,,,,27982
27985,0;0;0,0;1;0,0;0;0,0;0;0,27985
28252,,,,,28252
28269,0;-1;3,0;0;1,0;0;1,0;0;0,28269
28538,,,,,28538
28541,0;0;0,0;0;0,0;0;1,0;0;1,28541
28808,,,,,28808
28816,-1;1;0,0;0;0,0;0;-1,-1;0;2,28816
29080,,,,,29080
29082,0;0;-2,0;0;2,0;0;0,0;0;2,29082
29347,,,,,29347
29350,0;-1;-1,0;1;0,0;0;0,0;-1;0,29350
29622,,,,,29622
29638,1;1;0,0;0;0,0;1;-1,-1;1;-1,29638
29910,,,,,29910
29913,1;0;-1,0;0;0,0;0;0,-1;0;0,29913
30179,,,,,30179
30181,1;0;-2,1;0;0,0;0;0,0;1;1,30181
30454,,,,,30454
30457,0;-1;0,0;0;0,-1;0;2,0;0;0,30457
30723,,,,,30723
30744,0;0;1,0;0;1,0;0;1,0;1;1,30744
31010,,,,,31010
31013,0;0;0,0;0;0,0;0;1,-1;0;0,31013
31280,,,,,31280
31283,0;0;0,1;0;1,0;0;0,0;1;1,31283
31557,,,,,31557
31559,0;0;-1,-1;0;1,0;0;0,0;0;0,31559
31823,,,,,31823
31826,0;0;0,0;0;0,0;1;0,0;0;0,31826
32088,,,,,32088
