,index,rpm,speed,throt_pos,engine_load,bat_volt,duration
0,30017,903.0,0.0,17,27,14.13,30017
1,30300,909.0,0.0,16,27,14.16,30300
2,30576,909.0,0.0,17,27,14.15,30576
3,30843,890.0,0.0,17,28,14.13,30843
4,31112,897.0,0.0,17,29,14.15,31112
5,31376,899.0,0.0,17,29,14.12,31376
6,31645,902.0,0.0,17,28,14.15,31645
7,31912,904.0,0.0,16,28,14.13,31912
8,32182,908.0,0.0,16,27,14.12,32182
9,32451,905.0,0.0,17,28,14.14,32451
10,32714,891.0,0.0,17,28,14.12,32714
11,32989,891.0,0.0,17,29,14.16,32989
12,33252,894.0,0.0,17,28,14.14,33252
13,33518,884.0,0.0,17,28,14.12,33518
14,33789,895.0,0.0,17,28,14.15,33789
15,34053,911.0,0.0,17,27,14.1,34053
16,34322,921.0,0.0,16,27,14.11,34322
17,34590,910.0,0.0,16,27,14.13,34590
18,34856,909.0,0.0,16,28,14.1,34856
19,35138,908.0,0.0,16,27,14.15,35138
20,35405,894.0,0.0,17,28,14.14,35405
21,35672,895.0,0.0,17,29,14.11,35672
22,35939,896.0,0.0,17,29,14.13,35939
23,36206,889.0,0.0,17,29,14.08,36206
24,36472,896.0,0.0,17,28,14.11,36472
25,36743,910.0,0.0,17,28,13.61,36743
26,37013,921.0,0.0,21,47,13.94,37013
27,37291,833.0,0.0,21,50,14.04,37291
28,37556,844.0,0.0,21,53,13.92,37556
29,37836,840.0,0.0,22,57,14.04,37836
30,38107,832.0,0.0,22,57,14.09,38107
31,38369,841.0,0.0,22,56,13.96,38369
32,38639,830.0,0.0,22,55,14.16,38639
33,38906,840.0,0.0,21,46,13.92,38906
34,39170,849.0,0.0,20,41,13.92,39170
35,39445,858.0,0.0,20,41,14.1,39445
36,39707,872.0,0.0,20,41,13.94,39707
37,39975,866.0,0.0,20,41,13.99,39975
38,40246,859.0,0.0,20,40,14.04,40246
39,40509,875.0,0.0,20,41,13.98,40509
40,40784,873.0,0.0,20,41,14.0,40784
41,41047,853.0,0.0,20,40,13.96,41047
42,41315,852.0,0.0,20,42,14.07,41315
43,41584,869.0,0.0,21,43,14.07,41584
44,41847,1006.0,0.0,21,43,14.12,41847
45,42117,1027.0,0.0,22,43,14.17,42117
46,42386,1064.0,0.0,23,43,14.1,42386
47,42648,1128.0,0.0,23,40,14.11,42648
48,42925,1188.0,0.0,23,40,14.14,42925
49,43187,1200.0,0.0,23,40,14.13,43187
50,43455,1204.0,0.621371,23,40,14.08,43455
51,43724,1212.0,0.621371,22,36,14.17,43724
52,43987,1202.0,0.621371,21,36,14.09,43987
53,44259,1158.0,1.242742,21,38,14.04,44259
54,44525,1114.0,1.242742,21,39,14.16,44525
55,44787,1097.0,1.242742,22,41,14.13,44787
56,45068,1106.0,1.242742,23,42,14.08,45068
57,45335,1126.0,1.242742,23,41,14.11,45335
58,45604,1160.0,1.242742,24,44,14.1,45604
59,45874,1229.0,1.242742,25,43,14.11,45874
60,46148,1287.0,1.8641130000000001,25,40,14.17,46148
61,46420,1310.0,1.8641130000000001,25,41,14.1,46420
62,46693,1286.0,1.8641130000000001,24,40,14.17,46693
63,46968,1249.0,1.8641130000000001,18,21,14.12,46968
64,47243,1172.0,2.485484,19,29,14.09,47243
65,47518,1022.0,1.8641130000000001,23,50,14.13,47518
66,47789,1022.0,1.8641130000000001,24,50,14.16,47789
67,48063,1076.0,1.8641130000000001,25,50,14.13,48063
68,48332,1172.0,1.8641130000000001,25,45,14.09,48332
69,48608,1298.0,1.8641130000000001,25,42,14.13,48608
70,48896,1358.0,1.8641130000000001,20,22,14.17,48896
71,49170,1305.0,2.485484,19,27,14.16,49170
72,49449,1123.0,2.485484,20,33,14.0,49449
73,49714,1019.0,2.485484,20,36,14.06,49714
