,utcdate,utctime,alt,speed_mph,n_sats
56353,2021-10-25,21:15:07.900000,0,0.0,0
62425,2021-10-25,21:20:40,0,0.0,0
68495,2021-10-25,21:21:00,0,0.0,0
74566,2021-10-25,21:22:01,0,0.0,0
80637,2021-10-25,21:22:22,127,234.256867,3
86711,2021-10-25,21:22:08.300000,126,167.148799,3
92790,2021-10-25,21:23:43,208,66.486697,4
98863,2021-10-25,21:24:04,205,100.04073100000001,4
104935,2021-10-25,21:24:06.500000,210,66.486697,4
111008,2021-10-25,21:25:26,215,100.04073100000001,4
117081,2021-10-25,21:25:08.600000,212,32.932663,4
