,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,50293,0;-1;0,2;-1;0,0;-1;0,0;-1;0,50293,4,2021-10-27
1,50564,,,,,50564,4,2021-10-27
2,50567,0;-1;2,1;-1;-1,0;-1;0,-1;-2;0,50567,4,2021-10-27
3,50827,,,,,50827,4,2021-10-27
4,50829,0;-3;-2,0;-1;-1,1;0;0,1;0;1,50829,4,2021-10-27
5,51107,,,,,51107,4,2021-10-27
6,51109,1;-1;0,0;-1;0,0;-1;1,0;-1;0,51109,4,2021-10-27
7,51377,,,,,51377,4,2021-10-27
8,51379,0;-2;-1,0;0;0,0;-3;1,0;-1;1,51379,4,2021-10-27
9,51640,,,,,51640,4,2021-10-27
10,51642,0;-1;1,0;-1;0,0;-1;1,0;-1;0,51642,4,2021-10-27
11,51915,,,,,51915,4,2021-10-27
12,51917,2;-1;1,0;-1;0,0;-1;0,0;0;2,51917,4,2021-10-27
13,52177,,,,,52177,4,2021-10-27
14,52180,1;1;0,0;-1;0,1;-1;0,0;0;1,52180,4,2021-10-27
15,52441,,,,,52441,4,2021-10-27
16,52448,0;-1;0,1;-2;-1,1;-1;-1,0;0;1,52448,4,2021-10-27
17,52727,,,,,52727,4,2021-10-27
18,52729,0;-1;0,0;-1;0,0;-2;0,1;0;0,52729,4,2021-10-27
19,52994,,,,,52994,4,2021-10-27
20,52996,0;0;0,0;-1;0,0;-2;0,1;0;0,52996,4,2021-10-27
21,53261,,,,,53261,4,2021-10-27
22,53263,0;-1;0,0;-1;0,0;-1;1,0;-2;0,53263,4,2021-10-27
23,53530,,,,,53530,4,2021-10-27
24,53532,0;0;1,1;0;0,0;0;-1,0;0;2,53532,4,2021-10-27
25,53792,,,,,53792,4,2021-10-27
26,53795,0;-1;1,0;0;0,0;-1;1,1;-1;0,53795,4,2021-10-27
27,54062,,,,,54062,4,2021-10-27
28,54064,0;-1;0,0;-2;0,2;0;0,0;-3;0,54064,4,2021-10-27
29,54329,,,,,54329,4,2021-10-27
30,54331,2;0;1,0;-2;0,1;0;0,0;0;1,54331,4,2021-10-27
31,54593,,,,,54593,4,2021-10-27
32,54601,2;-2;1,2;-1;2,2;-2;0,2;-1;1,54601,4,2021-10-27
33,54867,,,,,54867,4,2021-10-27
34,54870,0;0;0,0;0;0,0;-1;0,0;0;0,54870,4,2021-10-27
35,55134,,,,,55134,4,2021-10-27
36,55136,0;0;0,0;0;0,0;0;0,1;-1;1,55136,4,2021-10-27
37,55413,,,,,55413,4,2021-10-27
38,55416,1;-1;0,1;-1;0,0;-1;0,1;-3;2,55416,4,2021-10-27
39,55683,,,,,55683,4,2021-10-27
40,55685,0;-1;0,2;-1;0,1;-2;0,-1;-1;0,55685,4,2021-10-27
41,55945,,,,,55945,4,2021-10-27
42,55947,3;-1;0,0;1;0,0;0;0,0;-1;2,55947,4,2021-10-27
43,56220,,,,,56220,4,2021-10-27
44,56222,0;-1;0,0;-1;0,1;0;0,2;-1;0,56222,4,2021-10-27
45,56482,,,,,56482,4,2021-10-27
46,56485,0;0;0,0;-2;1,1;-1;0,0;-1;0,56485,4,2021-10-27
47,56744,,,,,56744,4,2021-10-27
48,56752,0;-2;1,0;0;1,2;-1;0,1;0;0,56752,4,2021-10-27
49,57021,,,,,57021,4,2021-10-27
50,57023,0;-2;1,0;-1;0,0;-1;1,0;0;0,57023,4,2021-10-27
51,57283,,,,,57283,4,2021-10-27
52,57285,1;-2;0,1;-1;0,0;0;0,1;0;0,57285,4,2021-10-27
53,57559,,,,,57559,4,2021-10-27
54,57561,0;-1;0,0;0;0,0;-2;0,0;-1;0,57561,4,2021-10-27
55,57825,,,,,57825,4,2021-10-27
56,57827,1;-2;2,2;-2;0,0;0;1,0;-1;0,57827,4,2021-10-27
57,58096,,,,,58096,4,2021-10-27
58,58103,0;-2;1,1;-1;1,0;0;1,1;-1;1,58103,4,2021-10-27
59,58379,,,,,58379,4,2021-10-27
60,58381,0;0;0,0;-1;-1,1;-1;0,0;-2;1,58381,4,2021-10-27
61,58647,,,,,58647,4,2021-10-27
62,58649,1;0;0,0;-1;1,2;-1;0,1;-1;0,58649,4,2021-10-27
63,58915,,,,,58915,4,2021-10-27
64,58917,0;-1;1,2;-2;0,1;-1;0,2;-2;0,58917,4,2021-10-27
65,59185,,,,,59185,4,2021-10-27
66,59187,0;-1;1,0;-1;2,0;-1;0,0;-1;1,59187,4,2021-10-27
67,59448,,,,,59448,4,2021-10-27
68,59450,0;0;-1,0;0;2,2;0;1,0;-1;0,59450,4,2021-10-27
69,59716,,,,,59716,4,2021-10-27
