,index,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,42739,0;0;0,1;0;2,0;-2;0,0;1;1,42739,6,2021-10-27
1,43016,,,,,43016,6,2021-10-27
2,43019,0;0;2,0;0;0,-1;0;-1,0;1;0,43019,6,2021-10-27
3,43278,,,,,43278,6,2021-10-27
4,43280,0;-1;0,-1;0;2,0;0;0,0;1;-2,43280,6,2021-10-27
5,43546,,,,,43546,6,2021-10-27
6,43549,1;0;2,-1;0;0,-1;1;0,0;0;-1,43549,6,2021-10-27
7,43810,,,,,43810,6,2021-10-27
8,43812,0;0;1,-1;1;1,-1;0;-1,1;1;-1,43812,6,2021-10-27
9,44073,,,,,44073,6,2021-10-27
10,44076,0;1;1,0;0;0,-1;0;0,0;0;-2,44076,6,2021-10-27
11,44342,,,,,44342,6,2021-10-27
12,44344,0;-1;0,0;0;1,0;0;-2,0;0;0,44344,6,2021-10-27
13,44606,,,,,44606,6,2021-10-27
14,44608,0;0;0,-1;2;-1,0;0;0,0;0;-1,44608,6,2021-10-27
15,44867,,,,,44867,6,2021-10-27
16,44874,0;0;1,0;0;-1,1;2;-1,0;0;0,44874,6,2021-10-27
17,45143,,,,,45143,6,2021-10-27
18,45146,0;0;1,-1;0;0,-2;0;0,1;0;-1,45146,6,2021-10-27
19,45406,,,,,45406,6,2021-10-27
20,45408,0;-1;0,-1;0;0,0;0;-1,0;0;1,45408,6,2021-10-27
21,45678,,,,,45678,6,2021-10-27
22,45680,0;0;1,0;0;1,0;0;-1,0;0;0,45680,6,2021-10-27
23,45944,,,,,45944,6,2021-10-27
24,45946,0;0;1,-1;0;0,0;0;0,0;0;-1,45946,6,2021-10-27
25,46205,,,,,46205,6,2021-10-27
26,46213,0;-1;0,0;-2;0,0;0;1,-1;0;0,46213,6,2021-10-27
27,46478,,,,,46478,6,2021-10-27
28,46480,1;0;0,2;0;-1,-1;0;0,0;0;0,46480,6,2021-10-27
29,46745,,,,,46745,6,2021-10-27
30,46747,0;0;1,1;-1;1,-1;1;0,-2;0;0,46747,6,2021-10-27
31,47012,,,,,47012,6,2021-10-27
32,47015,2;0;1,0;-1;2,0;0;2,0;0;1,47015,6,2021-10-27
33,47279,,,,,47279,6,2021-10-27
34,47281,1;0;2,1;0;3,0;0;2,0;-2;1,47281,6,2021-10-27
35,47545,,,,,47545,6,2021-10-27
36,47547,0;1;2,0;1;0,0;0;0,0;-2;0,47547,6,2021-10-27
37,47816,,,,,47816,6,2021-10-27
38,47818,0;0;1,0;0;0,0;0;0,0;2;0,47818,6,2021-10-27
39,48090,,,,,48090,6,2021-10-27
40,48092,0;-1;-1,0;0;-2,0;0;1,0;-1;1,48092,6,2021-10-27
41,48365,,,,,48365,6,2021-10-27
42,48373,0;-1;2,0;0;0,0;0;0,-2;0;-1,48373,6,2021-10-27
43,48636,,,,,48636,6,2021-10-27
44,48640,0;-1;2,1;0;0,1;0;2,0;-2;0,48640,6,2021-10-27
45,48910,,,,,48910,6,2021-10-27
46,48912,0;1;0,0;0;3,0;0;0,0;-1;1,48912,6,2021-10-27
47,49172,,,,,49172,6,2021-10-27
48,49174,0;0;2,1;0;-1,1;1;-1,0;0;0,49174,6,2021-10-27
49,49437,,,,,49437,6,2021-10-27
50,49439,0;-1;2,1;0;1,0;2;2,1;-2;0,49439,6,2021-10-27
51,49710,,,,,49710,6,2021-10-27
52,49712,1;0;2,0;0;-1,0;-1;-2,0;0;0,49712,6,2021-10-27
53,49986,,,,,49986,6,2021-10-27
54,49988,-1;1;0,0;0;-1,1;0;1,1;0;0,49988,6,2021-10-27
55,50248,,,,,50248,6,2021-10-27
56,50250,-1;0;-3,0;0;-1,0;0;1,1;0;3,50250,6,2021-10-27
57,50515,,,,,50515,6,2021-10-27
58,50518,-1;0;-4,0;0;-3,0;0;-1,-1;0;-1,50518,6,2021-10-27
59,50786,,,,,50786,6,2021-10-27
60,50788,0;0;0,0;0;0,0;0;2,-2;0;-1,50788,6,2021-10-27
61,51060,,,,,51060,6,2021-10-27
62,51063,1;0;2,0;0;0,1;-1;1,0;-2;0,51063,6,2021-10-27
63,51332,,,,,51332,6,2021-10-27
64,51334,-1;0;-2,0;0;0,1;0;2,0;0;0,51334,6,2021-10-27
65,51610,,,,,51610,6,2021-10-27
66,51612,-1;1;-1,0;0;-2,-1;0;-2,-1;0;-1,51612,6,2021-10-27
67,51876,,,,,51876,6,2021-10-27
68,51884,0;0;-1,0;0;1,1;0;-1,0;0;-1,51884,6,2021-10-27
69,52162,,,,,52162,6,2021-10-27
70,52164,2;0;0,0;0;1,0;0;0,0;0;1,52164,6,2021-10-27
71,52431,,,,,52431,6,2021-10-27
72,52433,0;1;0,0;0;-1,1;0;2,1;0;0,52433,6,2021-10-27
73,52708,,,,,52708,6,2021-10-27
74,52710,0;0;-1,0;1;-1,0;0;0,2;1;1,52710,6,2021-10-27
75,52977,,,,,52977,6,2021-10-27
76,52979,0;0;-1,0;0;0,1;0;0,1;0;0,52979,6,2021-10-27
77,53238,,,,,53238,6,2021-10-27
78,53241,0;0;0,0;0;1,0;0;2,0;-1;0,53241,6,2021-10-27
79,53516,,,,,53516,6,2021-10-27
80,53518,-1;1;-2,0;0;0,0;0;1,1;0;1,53518,6,2021-10-27
81,53783,,,,,53783,6,2021-10-27
82,53785,0;0;-2,-1;0;0,0;0;-2,0;0;0,53785,6,2021-10-27
83,54051,,,,,54051,6,2021-10-27
84,54060,-1;1;0,0;0;0,0;0;0,0;1;1,54060,6,2021-10-27
85,54327,,,,,54327,6,2021-10-27
86,54329,0;-1;0,0;0;1,-1;0;0,-1;1;-1,54329,6,2021-10-27
87,54590,,,,,54590,6,2021-10-27
88,54592,0;-1;0,0;0;0,0;0;1,0;0;0,54592,6,2021-10-27
89,54865,,,,,54865,6,2021-10-27
90,54867,-1;0;0,1;0;2,0;0;0,-1;0;0,54867,6,2021-10-27
91,55128,,,,,55128,6,2021-10-27
92,55130,0;0;0,0;0;0,0;0;-1,0;0;1,55130,6,2021-10-27
93,55391,,,,,55391,6,2021-10-27
94,55399,-1;0;0,1;1;2,0;0;3,0;0;3,55399,6,2021-10-27
95,55665,,,,,55665,6,2021-10-27
96,55668,0;1;-1,1;0;1,0;0;1,0;0;-1,55668,6,2021-10-27
97,55928,,,,,55928,6,2021-10-27
98,55930,1;0;3,1;0;1,0;0;0,0;0;0,55930,6,2021-10-27
99,56196,,,,,56196,6,2021-10-27
100,56199,0;0;2,0;0;0,0;0;1,0;0;0,56199,6,2021-10-27
101,56467,,,,,56467,6,2021-10-27
102,56469,0;0;1,1;0;1,-1;-1;0,0;0;1,56469,6,2021-10-27
103,56729,,,,,56729,6,2021-10-27
104,56732,0;-1;0,0;0;1,0;-1;0,0;0;0,56732,6,2021-10-27
105,57006,,,,,57006,6,2021-10-27
106,57008,0;0;0,0;-1;0,0;0;2,0;0;2,57008,6,2021-10-27
107,57268,,,,,57268,6,2021-10-27
108,57270,1;-1;2,1;0;2,1;0;1,2;0;1,57270,6,2021-10-27
109,57542,,,,,57542,6,2021-10-27
110,57549,0;1;0,0;0;-3,0;0;0,0;1;0,57549,6,2021-10-27
111,57812,,,,,57812,6,2021-10-27
