,index,rpm,speed,throt_pos,engine_load,bat_volt,duration,trip_id,utcdate
0,42739,891.0,0.0,19,36,14.56,42739,6,2021-10-27
1,43019,897.0,0.0,19,36,14.57,43019,6,2021-10-27
2,43280,894.0,0.0,19,35,14.54,43280,6,2021-10-27
3,43549,902.0,0.0,19,35,14.54,43549,6,2021-10-27
4,43812,906.0,0.0,18,34,14.53,43812,6,2021-10-27
5,44076,903.0,0.0,18,34,14.56,44076,6,2021-10-27
6,44344,914.0,0.0,18,34,14.54,44344,6,2021-10-27
7,44608,905.0,0.0,18,34,14.5,44608,6,2021-10-27
8,44874,905.0,0.0,18,34,14.56,44874,6,2021-10-27
9,45146,902.0,0.0,18,34,14.56,45146,6,2021-10-27
10,45408,894.0,0.0,19,35,14.54,45408,6,2021-10-27
11,45680,895.0,0.0,19,36,14.56,45680,6,2021-10-27
12,45946,901.0,0.0,19,34,14.53,45946,6,2021-10-27
13,46213,904.0,0.0,18,34,14.56,46213,6,2021-10-27
14,46480,905.0,0.0,18,33,14.54,46480,6,2021-10-27
15,46747,908.0,0.0,18,34,14.52,46747,6,2021-10-27
16,47015,903.0,0.0,18,34,14.5,47015,6,2021-10-27
17,47281,902.0,0.0,19,36,14.54,47281,6,2021-10-27
18,47547,904.0,0.0,19,35,14.46,47547,6,2021-10-27
19,47818,902.0,0.0,19,35,14.38,47818,6,2021-10-27
20,48092,902.0,0.0,18,34,14.46,48092,6,2021-10-27
21,48373,911.0,0.0,18,33,14.48,48373,6,2021-10-27
22,48640,905.0,0.0,18,33,14.45,48640,6,2021-10-27
23,48912,902.0,0.0,18,34,14.5,48912,6,2021-10-27
24,49174,901.0,0.0,18,34,14.5,49174,6,2021-10-27
25,49439,898.0,0.0,19,34,14.48,49439,6,2021-10-27
26,49712,900.0,0.0,19,34,14.45,49712,6,2021-10-27
27,49988,902.0,0.0,18,34,14.45,49988,6,2021-10-27
28,50250,903.0,0.0,18,33,14.48,50250,6,2021-10-27
29,50518,912.0,0.0,18,33,14.54,50518,6,2021-10-27
30,50788,915.0,0.0,18,32,14.52,50788,6,2021-10-27
31,51063,910.0,0.0,18,33,14.38,51063,6,2021-10-27
32,51334,905.0,0.0,18,33,14.37,51334,6,2021-10-27
33,51612,900.0,0.0,18,33,14.39,51612,6,2021-10-27
34,51884,897.0,0.0,18,34,14.49,51884,6,2021-10-27
35,52164,896.0,0.0,18,34,14.46,52164,6,2021-10-27
36,52433,892.0,0.0,18,35,14.45,52433,6,2021-10-27
37,52710,893.0,0.0,19,36,14.46,52710,6,2021-10-27
38,52979,886.0,0.0,19,35,14.49,52979,6,2021-10-27
39,53241,893.0,0.0,18,34,14.46,53241,6,2021-10-27
40,53518,898.0,0.0,18,33,14.46,53518,6,2021-10-27
41,53785,906.0,0.0,18,33,14.48,53785,6,2021-10-27
42,54060,910.0,0.0,18,32,14.54,54060,6,2021-10-27
43,54329,904.0,0.0,18,33,14.56,54329,6,2021-10-27
44,54592,910.0,0.0,18,33,14.4,54592,6,2021-10-27
45,54867,907.0,0.0,18,33,14.46,54867,6,2021-10-27
46,55130,903.0,0.0,18,33,14.54,55130,6,2021-10-27
47,55399,896.0,0.0,18,34,14.39,55399,6,2021-10-27
48,55668,899.0,0.0,18,34,14.52,55668,6,2021-10-27
49,55930,894.0,0.0,19,36,14.54,55930,6,2021-10-27
50,56199,886.0,0.0,19,36,14.54,56199,6,2021-10-27
51,56469,899.0,0.0,19,35,14.54,56469,6,2021-10-27
52,56732,904.0,0.0,18,34,14.42,56732,6,2021-10-27
53,57008,909.0,0.0,18,32,14.49,57008,6,2021-10-27
54,57270,908.0,0.0,18,32,14.38,57270,6,2021-10-27
55,57549,905.0,0.0,18,33,14.4,57549,6,2021-10-27
56,57815,898.0,0.0,18,32,14.41,57815,6,2021-10-27
57,58086,895.0,0.0,18,34,14.46,58086,6,2021-10-27
58,58366,889.0,0.0,18,34,14.5,58366,6,2021-10-27
59,58636,896.0,0.0,18,34,14.48,58636,6,2021-10-27
60,58904,900.0,0.0,18,33,14.46,58904,6,2021-10-27
61,59173,904.0,0.0,18,33,14.48,59173,6,2021-10-27
62,59449,906.0,0.0,18,33,14.54,59449,6,2021-10-27
63,59721,910.0,0.0,18,33,14.54,59721,6,2021-10-27
64,59994,903.0,0.0,18,34,14.37,59994,6,2021-10-27
65,60274,894.0,0.0,18,34,14.39,60274,6,2021-10-27
66,60540,894.0,0.0,18,34,14.37,60540,6,2021-10-27
67,60819,897.0,0.0,18,33,14.46,60819,6,2021-10-27
68,61089,904.0,0.0,18,32,14.42,61089,6,2021-10-27
69,61357,899.0,0.0,18,32,14.5,61357,6,2021-10-27
70,61627,898.0,0.0,18,32,14.49,61627,6,2021-10-27
71,61896,903.0,0.0,18,33,14.49,61896,6,2021-10-27
72,62170,905.0,0.0,18,32,14.46,62170,6,2021-10-27
73,62441,905.0,0.0,18,32,14.5,62441,6,2021-10-27
74,62714,907.0,0.0,18,32,14.5,62714,6,2021-10-27
75,62980,904.0,0.0,18,33,14.54,62980,6,2021-10-27
76,63253,898.0,0.0,18,34,14.54,63253,6,2021-10-27
77,63522,897.0,0.0,18,34,14.53,63522,6,2021-10-27
78,63792,892.0,0.0,18,34,14.46,63792,6,2021-10-27
79,64070,895.0,0.0,18,34,14.38,64070,6,2021-10-27
80,64342,900.0,0.0,18,33,14.4,64342,6,2021-10-27
81,64604,905.0,0.0,18,32,14.38,64604,6,2021-10-27
82,64880,906.0,0.0,18,32,14.39,64880,6,2021-10-27
83,65141,907.0,0.0,18,32,14.49,65141,6,2021-10-27
84,65424,898.0,0.0,18,33,14.48,65424,6,2021-10-27
85,65692,895.0,0.0,18,33,14.48,65692,6,2021-10-27
86,65961,898.0,0.0,18,33,14.49,65961,6,2021-10-27
87,66231,899.0,0.0,18,32,14.36,66231,6,2021-10-27
88,66494,907.0,0.0,18,32,14.36,66494,6,2021-10-27
89,66769,904.0,0.0,18,33,14.38,66769,6,2021-10-27
90,67040,904.0,0.0,18,32,14.36,67040,6,2021-10-27
91,67312,902.0,0.0,18,32,14.4,67312,6,2021-10-27
92,67575,900.0,0.0,18,32,14.44,67575,6,2021-10-27
93,67846,898.0,0.0,18,32,14.46,67846,6,2021-10-27
94,68114,896.0,0.0,18,34,14.42,68114,6,2021-10-27
95,68390,899.0,0.0,18,33,14.28,68390,6,2021-10-27
96,68665,906.0,0.0,18,32,14.29,68665,6,2021-10-27
97,68933,907.0,0.0,18,32,14.32,68933,6,2021-10-27
98,69214,907.0,0.0,18,32,14.38,69214,6,2021-10-27
99,69484,900.0,0.0,18,32,14.37,69484,6,2021-10-27
100,69754,894.0,0.0,18,34,14.36,69754,6,2021-10-27
101,70029,898.0,0.0,18,33,14.34,70029,6,2021-10-27
102,70300,906.0,0.0,18,32,14.45,70300,6,2021-10-27
103,70577,913.0,0.0,18,32,14.38,70577,6,2021-10-27
104,70848,903.0,0.0,18,32,14.31,70848,6,2021-10-27
105,71127,895.0,0.0,18,33,14.35,71127,6,2021-10-27
106,71400,892.0,0.0,18,34,14.33,71400,6,2021-10-27
107,71669,890.0,0.0,18,33,14.35,71669,6,2021-10-27
108,71937,900.0,0.0,18,33,14.38,71937,6,2021-10-27
109,72206,898.0,0.0,18,32,14.32,72206,6,2021-10-27
110,72480,901.0,0.0,18,32,14.39,72480,6,2021-10-27
111,72750,903.0,0.0,18,32,14.39,72750,6,2021-10-27
112,73013,898.0,0.0,18,32,14.34,73013,6,2021-10-27
113,73288,898.0,0.0,18,34,14.4,73288,6,2021-10-27
114,73563,895.0,0.0,18,34,14.4,73563,6,2021-10-27
115,73832,898.0,0.0,18,33,14.42,73832,6,2021-10-27
116,74101,905.0,0.0,18,32,14.45,74101,6,2021-10-27
117,74375,908.0,0.0,18,32,14.48,74375,6,2021-10-27
118,74639,910.0,0.0,18,32,14.49,74639,6,2021-10-27
119,74902,909.0,0.0,18,32,14.45,74902,6,2021-10-27
120,75180,901.0,0.0,18,32,14.29,75180,6,2021-10-27
121,75452,900.0,0.0,18,32,14.4,75452,6,2021-10-27
122,75720,906.0,0.0,18,32,14.25,75720,6,2021-10-27
123,75997,900.0,0.0,18,32,14.28,75997,6,2021-10-27
124,76272,903.0,0.0,18,32,14.4,76272,6,2021-10-27
125,76541,899.0,0.0,18,32,14.4,76541,6,2021-10-27
126,76812,897.0,0.0,18,32,14.32,76812,6,2021-10-27
127,77085,899.0,0.0,18,32,14.37,77085,6,2021-10-27
128,77356,895.0,0.0,18,33,14.37,77356,6,2021-10-27
129,77636,901.0,0.0,18,32,14.45,77636,6,2021-10-27
130,77905,902.0,0.0,18,32,14.4,77905,6,2021-10-27
131,78169,902.0,0.0,18,32,14.42,78169,6,2021-10-27
132,78443,908.0,0.0,18,31,14.36,78443,6,2021-10-27
133,78712,911.0,0.0,18,31,14.25,78712,6,2021-10-27
134,78987,893.0,0.0,18,32,14.27,78987,6,2021-10-27
135,79256,894.0,0.0,18,33,14.29,79256,6,2021-10-27
136,79524,895.0,0.0,18,33,14.28,79524,6,2021-10-27
137,79795,896.0,0.0,18,32,14.34,79795,6,2021-10-27
138,80070,895.0,0.0,18,32,14.39,80070,6,2021-10-27
139,80346,897.0,0.0,18,32,14.38,80346,6,2021-10-27
140,80609,900.0,0.0,18,31,14.38,80609,6,2021-10-27
141,80880,904.0,0.0,18,32,14.38,80880,6,2021-10-27
142,81146,903.0,0.0,18,32,14.37,81146,6,2021-10-27
143,81415,904.0,0.0,18,32,14.37,81415,6,2021-10-27
144,81690,897.0,0.0,18,32,14.39,81690,6,2021-10-27
145,81961,893.0,0.0,18,33,14.45,81961,6,2021-10-27
146,82234,895.0,0.0,18,32,14.35,82234,6,2021-10-27
147,82510,903.0,0.0,18,32,14.32,82510,6,2021-10-27
148,82786,899.0,0.0,18,31,14.25,82786,6,2021-10-27
149,83070,900.0,0.0,18,31,14.31,83070,6,2021-10-27
150,83335,904.0,0.0,18,31,14.29,83335,6,2021-10-27
151,83599,899.0,0.0,18,32,14.31,83599,6,2021-10-27
152,83873,892.0,0.0,18,33,14.29,83873,6,2021-10-27
153,84155,889.0,0.0,18,33,14.31,84155,6,2021-10-27
154,84422,888.0,0.0,18,32,14.28,84422,6,2021-10-27
155,84700,907.0,0.0,18,31,14.37,84700,6,2021-10-27
156,84972,910.0,0.0,18,31,14.37,84972,6,2021-10-27
157,85239,909.0,0.0,18,31,14.24,85239,6,2021-10-27
158,85531,898.0,0.0,18,32,14.19,85531,6,2021-10-27
159,85795,893.0,0.0,18,32,14.17,85795,6,2021-10-27
160,86070,894.0,0.0,18,32,14.27,86070,6,2021-10-27
161,86339,906.0,0.0,18,31,14.27,86339,6,2021-10-27
162,86609,907.0,0.0,18,31,14.25,86609,6,2021-10-27
163,86889,904.0,0.0,18,32,14.23,86889,6,2021-10-27
164,87152,900.0,0.0,18,32,14.23,87152,6,2021-10-27
165,87419,896.0,0.0,18,32,14.23,87419,6,2021-10-27
166,87690,900.0,0.0,18,32,14.23,87690,6,2021-10-27
167,87959,905.0,0.0,18,31,14.33,87959,6,2021-10-27
168,88228,906.0,0.0,18,32,14.27,88228,6,2021-10-27
169,88491,903.0,0.0,18,32,14.23,88491,6,2021-10-27
170,88753,902.0,0.0,18,32,14.23,88753,6,2021-10-27
171,89016,904.0,0.0,18,32,14.21,89016,6,2021-10-27
172,89285,898.0,0.0,18,32,14.25,89285,6,2021-10-27
173,89553,895.0,0.0,18,32,14.25,89553,6,2021-10-27
174,89825,906.0,0.0,18,31,14.32,89825,6,2021-10-27
175,90092,906.0,0.0,18,32,14.25,90092,6,2021-10-27
176,90355,901.0,0.0,18,32,14.32,90355,6,2021-10-27
177,90625,906.0,0.0,18,32,14.29,90625,6,2021-10-27
178,90894,905.0,0.0,18,31,14.28,90894,6,2021-10-27
179,91173,900.0,0.0,18,32,14.17,91173,6,2021-10-27
180,91444,896.0,0.0,18,31,14.21,91444,6,2021-10-27
181,91713,890.0,0.0,18,32,14.24,91713,6,2021-10-27
182,91995,891.0,0.0,18,32,14.19,91995,6,2021-10-27
183,92270,894.0,0.0,18,32,14.25,92270,6,2021-10-27
184,92536,901.0,0.0,18,31,14.2,92536,6,2021-10-27
185,92809,901.0,0.0,18,31,14.17,92809,6,2021-10-27
186,93085,906.0,0.0,18,32,14.17,93085,6,2021-10-27
187,93351,905.0,0.0,18,32,14.17,93351,6,2021-10-27
188,93621,896.0,0.0,18,32,14.17,93621,6,2021-10-27
189,93890,898.0,0.0,18,32,14.17,93890,6,2021-10-27
190,94152,903.0,0.0,18,31,14.25,94152,6,2021-10-27
191,94435,908.0,0.0,18,31,14.25,94435,6,2021-10-27
192,94703,904.0,0.0,18,31,14.21,94703,6,2021-10-27
193,94977,904.0,0.0,18,31,14.14,94977,6,2021-10-27
194,95241,900.0,0.0,18,32,14.14,95241,6,2021-10-27
195,95510,898.0,0.0,18,31,14.14,95510,6,2021-10-27
196,95781,900.0,0.0,18,31,14.13,95781,6,2021-10-27
197,96049,899.0,0.0,18,31,14.13,96049,6,2021-10-27
198,96323,901.0,0.0,18,31,14.19,96323,6,2021-10-27
199,96592,901.0,0.0,18,31,14.21,96592,6,2021-10-27
200,96870,901.0,0.0,18,31,14.21,96870,6,2021-10-27
201,97149,907.0,0.0,18,31,14.23,97149,6,2021-10-27
202,97425,898.0,0.0,18,32,14.21,97425,6,2021-10-27
203,97692,899.0,0.0,18,32,14.21,97692,6,2021-10-27
204,97963,904.0,0.0,18,31,14.15,97963,6,2021-10-27
205,98238,901.0,0.0,18,31,14.04,98238,6,2021-10-27
206,98509,902.0,0.0,18,31,14.09,98509,6,2021-10-27
207,98776,900.0,0.0,18,31,14.06,98776,6,2021-10-27
208,99046,898.0,0.0,18,32,14.11,99046,6,2021-10-27
209,99313,890.0,0.0,18,32,14.07,99313,6,2021-10-27
