,index,rpm,speed,throt_pos,engine_load,bat_volt,duration,utcdate
0,3108,0.0,0.0,32,0,12.46,3108,2021-11-16
1,7869,0.0,0.0,32,0,12.46,7869,2021-11-16
2,8137,0.0,0.0,32,0,12.48,8137,2021-11-16
3,8413,0.0,0.0,32,0,12.48,8413,2021-11-16
4,8676,0.0,0.0,32,0,12.48,8676,2021-11-16
5,8944,0.0,0.0,32,0,12.48,8944,2021-11-16
6,9213,0.0,0.0,32,0,12.48,9213,2021-11-16
7,9477,0.0,0.0,32,0,12.49,9477,2021-11-16
8,9750,0.0,0.0,32,0,12.48,9750,2021-11-16
9,10015,0.0,0.0,32,0,12.48,10015,2021-11-16
10,10294,0.0,0.0,32,0,12.46,10294,2021-11-16
11,10575,0.0,0.0,32,0,12.46,10575,2021-11-16
12,10842,0.0,0.0,32,0,12.46,10842,2021-11-16
13,11120,0.0,0.0,32,0,12.49,11120,2021-11-16
14,11393,0.0,0.0,32,0,12.46,11393,2021-11-16
15,11666,0.0,0.0,32,0,12.46,11666,2021-11-16
16,11941,0.0,0.0,32,0,12.46,11941,2021-11-16
17,12212,0.0,0.0,32,0,12.49,12212,2021-11-16
18,12484,0.0,0.0,32,0,12.49,12484,2021-11-16
19,12754,0.0,0.0,32,0,12.5,12754,2021-11-16
20,13030,0.0,0.0,32,0,12.52,13030,2021-11-16
21,13299,0.0,0.0,32,0,12.5,13299,2021-11-16
22,13569,0.0,0.0,32,0,12.5,13569,2021-11-16
23,13850,0.0,0.0,32,0,12.5,13850,2021-11-16
24,14118,0.0,0.0,32,0,12.5,14118,2021-11-16
25,14394,0.0,0.0,32,0,12.5,14394,2021-11-16
26,14657,0.0,0.0,32,0,12.52,14657,2021-11-16
27,14925,0.0,0.0,32,0,12.52,14925,2021-11-16
28,15201,0.0,0.0,32,0,12.53,15201,2021-11-16
29,15464,0.0,0.0,32,0,12.53,15464,2021-11-16
30,15732,0.0,0.0,32,0,12.53,15732,2021-11-16
31,15995,0.0,0.0,32,0,12.53,15995,2021-11-16
32,16258,0.0,0.0,32,0,12.53,16258,2021-11-16
33,16527,0.0,0.0,32,0,12.53,16527,2021-11-16
34,16790,0.0,0.0,32,0,12.53,16790,2021-11-16
35,17058,0.0,0.0,32,0,12.53,17058,2021-11-16
36,17321,0.0,0.0,32,0,12.53,17321,2021-11-16
37,17589,0.0,0.0,32,0,12.54,17589,2021-11-16
38,17854,0.0,0.0,32,0,12.53,17854,2021-11-16
39,18116,0.0,0.0,32,0,12.54,18116,2021-11-16
40,18392,0.0,0.0,32,0,12.53,18392,2021-11-16
41,18655,0.0,0.0,32,0,12.54,18655,2021-11-16
42,18928,0.0,0.0,32,0,12.54,18928,2021-11-16
43,19192,0.0,0.0,32,0,12.53,19192,2021-11-16
44,19462,0.0,0.0,32,0,12.54,19462,2021-11-16
45,19731,0.0,0.0,32,0,12.54,19731,2021-11-16
46,19992,0.0,0.0,32,0,12.54,19992,2021-11-16
47,20260,0.0,0.0,32,0,12.53,20260,2021-11-16
48,20525,0.0,0.0,32,0,12.54,20525,2021-11-16
49,20788,0.0,0.0,32,0,12.54,20788,2021-11-16
50,21056,0.0,0.0,32,0,12.55,21056,2021-11-16
51,21319,0.0,0.0,32,0,12.58,21319,2021-11-16
52,21586,0.0,0.0,32,0,12.59,21586,2021-11-16
53,21852,0.0,0.0,32,0,12.6,21852,2021-11-16
54,22120,0.0,0.0,32,0,12.59,22120,2021-11-16
55,22382,0.0,0.0,32,0,12.61,22382,2021-11-16
56,22645,0.0,0.0,32,0,12.6,22645,2021-11-16
57,22908,0.0,0.0,32,0,12.6,22908,2021-11-16
58,23172,0.0,0.0,32,0,12.61,23172,2021-11-16
59,23439,0.0,0.0,32,0,12.61,23439,2021-11-16
60,23702,0.0,0.0,32,0,12.61,23702,2021-11-16
61,23965,0.0,0.0,32,,12.62,23965,2021-11-16
