,rpm,speed,throt_pos,engine_load,bat_volt,duration
31644,1888.0,31.689921000000002,17,19,14.14,31644
36271,1303.0,31.689921000000002,16,16,14.12,36271
36545,1299.0,31.068550000000002,16,16,14.14,36545
36819,1288.0,30.447179000000002,16,16,14.15,36819
37093,1271.0,30.447179000000002,16,17,14.14,37093
37364,1257.0,30.447179000000002,16,17,14.13,37364
37634,1249.0,30.447179000000002,16,17,14.19,37634
37913,1250.0,29.825808000000002,16,17,14.23,37913
38198,1255.0,29.825808000000002,16,17,14.13,38198
38477,1244.0,29.825808000000002,16,17,14.23,38477
38748,1241.0,29.825808000000002,16,16,14.16,38748
39019,1243.0,29.825808000000002,16,17,14.11,39019
39292,1243.0,29.825808000000002,16,17,14.17,39292
39561,1241.0,29.825808000000002,16,17,14.2,39561
39836,1245.0,29.825808000000002,16,17,14.16,39836
40111,1252.0,29.825808000000002,16,16,14.17,40111
40384,1249.0,30.447179000000002,16,17,14.28,40384
40648,1252.0,30.447179000000002,16,16,14.21,40648
40918,1257.0,30.447179000000002,16,17,14.17,40918
41189,1243.0,30.447179000000002,16,17,14.24,41189
41459,1240.0,30.447179000000002,16,17,14.2,41459
41732,1253.0,30.447179000000002,16,17,14.19,41732
42001,1267.0,30.447179000000002,16,16,14.29,42001
42277,1279.0,30.447179000000002,16,16,14.21,42277
42551,1283.0,30.447179000000002,16,16,14.25,42551
42832,1283.0,31.068550000000002,16,16,14.2,42832
43102,1288.0,31.068550000000002,16,16,14.24,43102
43377,1297.0,31.068550000000002,16,16,14.31,43377
43648,1298.0,31.068550000000002,16,16,14.17,43648
43915,1289.0,31.068550000000002,16,16,14.24,43915
44199,1279.0,31.068550000000002,16,17,14.25,44199
44478,1270.0,30.447179000000002,16,17,14.25,44478
44759,1260.0,29.825808000000002,16,17,14.17,44759
45029,1242.0,29.204437,16,18,14.21,45029
45305,1193.0,28.583066,16,19,14.17,45305
45574,1152.0,27.961695,16,19,14.14,45574
45842,1174.0,26.718953,15,16,14.24,45842
46117,1244.0,26.097582,16,16,14.17,46117
46389,1281.0,24.85484,16,16,14.17,46389
46661,1304.0,23.612098,16,16,14.21,46661
46930,1290.0,22.990727,16,16,14.15,46930
47211,1216.0,21.747985,16,16,14.17,47211
47480,1279.0,21.126614,16,17,14.17,47480
47755,1209.0,19.883872,16,19,14.17,47755
48018,1087.0,19.262501,16,22,14.17,48018
48289,1029.0,18.019759,17,25,14.14,48289
48564,1034.0,17.398388,16,21,14.13,48564
48832,1065.0,16.155646,16,20,14.12,48832
49112,1027.0,15.534275000000001,16,24,14.06,49112
49382,909.0,14.291533,17,30,14.12,49382
49670,874.0,13.670162,17,30,14.2,49670
49947,917.0,13.048791,17,29,14.17,49947
50222,925.0,11.806049,17,29,14.25,50222
50497,920.0,11.184678,17,29,14.21,50497
50771,919.0,10.563307,17,32,14.17,50771
51053,835.0,9.941936,18,32,14.21,51053
51322,935.0,9.320565,18,29,14.19,51322
51596,938.0,8.699194,18,30,14.25,51596
51867,919.0,8.077823,18,32,14.17,51867
52141,918.0,7.4564520000000005,18,32,14.16,52141
52418,911.0,6.835081,18,33,14.25,52418
52688,888.0,6.835081,18,33,14.17,52688
52964,905.0,5.592339,18,36,14.17,52964
53240,890.0,4.970968,19,36,14.16,53240
53518,898.0,3.7282260000000003,19,37,14.24,53518
53788,856.0,3.106855,19,40,14.11,53788
54061,807.0,2.485484,19,43,14.09,54061
54360,812.0,1.8641130000000001,19,43,14.09,54360
54640,805.0,1.242742,20,45,14.2,54640
54916,816.0,0.621371,20,43,14.12,54916
55182,833.0,0.0,19,43,14.2,55182
55455,834.0,0.0,19,41,14.06,55455
55720,843.0,0.0,19,38,14.25,55720
55989,842.0,0.0,19,38,14.27,55989
56263,854.0,0.0,18,36,14.09,56263
56534,861.0,0.0,18,36,14.13,56534
56806,856.0,0.0,18,36,14.14,56806
57078,853.0,0.0,18,36,14.25,57078
57352,844.0,0.0,18,36,14.17,57352
57616,838.0,0.0,18,36,14.23,57616
57890,836.0,0.0,18,36,14.17,57890
58172,830.0,0.0,18,36,14.07,58172
58441,828.0,0.0,18,36,14.21,58441
58728,823.0,0.0,18,36,14.13,58728
58991,821.0,0.0,18,37,14.16,58991
59257,815.0,0.0,18,36,14.21,59257
59529,807.0,0.0,20,50,14.24,59529
59792,785.0,0.0,20,51,14.17,59792
60063,811.0,0.0,20,53,14.13,60063
60331,796.0,0.0,21,53,13.88,60331
60611,781.0,0.0,21,54,14.06,60611
60881,794.0,0.0,21,53,14.2,60881
61151,803.0,0.0,21,52,14.13,61151
61426,810.0,0.0,19,42,14.07,61426
61698,816.0,0.0,18,37,14.24,61698
61974,806.0,0.0,18,37,14.14,61974
62246,807.0,0.0,18,37,14.15,62246
62533,818.0,0.0,18,37,14.16,62533
62809,808.0,0.0,18,37,14.25,62809
63070,808.0,0.0,18,37,14.08,63070
63352,804.0,0.0,18,38,14.08,63352
63621,794.0,0.0,18,38,14.23,63621
63896,801.0,0.0,18,38,14.19,63896
64167,796.0,0.0,18,38,14.08,64167
64441,795.0,0.0,18,38,14.31,64441
64719,806.0,0.0,18,38,14.25,64719
64986,811.0,0.0,18,38,14.13,64986
65262,810.0,0.0,18,37,14.28,65262
65529,810.0,0.0,18,37,14.21,65529
65797,809.0,0.0,18,36,14.12,65797
66068,809.0,0.0,18,37,14.27,66068
66339,819.0,0.0,28,91,14.25,66339
66613,1018.0,0.621371,30,69,14.24,66613
66881,1402.0,1.8641130000000001,31,54,14.25,66881
67160,1642.0,2.485484,31,59,14.25,67160
67433,1702.0,4.349597,32,59,14.25,67433
67706,1761.0,5.592339,33,64,14.28,67706
67977,1806.0,6.835081,34,62,14.32,67977
68251,1908.0,8.077823,34,65,14.29,68251
68527,2049.0,9.320565,34,57,14.29,68527
68799,2216.0,10.563307,34,55,14.25,68799
69072,2402.0,11.184678,34,54,14.21,69072
69348,2525.0,11.806049,34,55,14.27,69348
69623,2300.0,13.048791,34,68,14.25,69623
69891,1995.0,13.670162,35,65,14.19,69891
70171,2136.0,14.912904000000001,35,67,14.23,70171
70441,2183.0,15.534275000000001,35,64,14.25,70441
70721,2295.0,16.155646,35,64,14.23,70721
70991,2381.0,16.777017,35,62,14.27,70991
71272,2449.0,17.398388,35,61,14.23,71272
71549,2503.0,18.019759,35,65,14.23,71549
71818,2161.0,18.64113,37,80,14.17,71818
72092,1870.0,19.883872,38,83,14.2,72092
72356,1840.0,20.505243,37,82,14.2,72356
72636,1867.0,21.126614,37,83,14.19,72636
72906,1894.0,21.747985,37,82,14.17,72906
73183,1920.0,22.369356,37,82,14.21,73183
73463,1977.0,22.990727,37,81,14.17,73463
73752,2003.0,23.612098,37,75,14.17,73752
74031,2020.0,24.233469,37,76,14.24,74031
74297,2049.0,24.85484,37,75,14.19,74297
74570,2098.0,25.476211,37,76,14.21,74570
