,acc1,acc2,acc3,acc4,duration,trip_id,utcdate
0,-1;0;0,-1;0;-3,-1;0;-3,-2;1;-3,14855,21,2021-11-17
1,,,,,19475,21,2021-11-17
2,1;0;3,0;0;-1,0;-1;0,-1;2;-2,19478,21,2021-11-17
3,,,,,19738,21,2021-11-17
4,2;1;3,1;0;2,0;0;-1,1;-1;-1,19740,21,2021-11-17
5,,,,,20008,21,2021-11-17
6,1;0;0,0;0;1,1;0;2,0;0;3,20011,21,2021-11-17
7,,,,,20276,21,2021-11-17
8,0;0;-1,2;0;0,1;0;2,1;0;2,20278,21,2021-11-17
9,,,,,20539,21,2021-11-17
10,-2;0;-1,-1;1;-1,-1;0;-2,-1;0;-2,20541,21,2021-11-17
11,,,,,20814,21,2021-11-17
12,-1;0;1,0;0;-1,-1;2;-2,0;1;-2,20816,21,2021-11-17
13,,,,,21076,21,2021-11-17
14,1;0;0,-2;0;-1,-1;0;-3,-1;0;0,21080,21,2021-11-17
15,,,,,21340,21,2021-11-17
16,1;0;2,0;0;0,0;0;2,0;0;-3,21347,21,2021-11-17
17,,,,,21615,21,2021-11-17
18,2;0;4,1;0;0,0;-3;-5,0;-1;-1,21617,21,2021-11-17
19,,,,,21878,21,2021-11-17
20,1;0;2,1;-1;-1,0;0;2,0;0;1,21880,21,2021-11-17
21,,,,,22153,21,2021-11-17
22,0;-1;0,2;1;1,0;0;2,0;0;0,22155,21,2021-11-17
23,,,,,22416,21,2021-11-17
24,0;0;0,1;0;0,0;0;2,0;0;3,22418,21,2021-11-17
25,,,,,22679,21,2021-11-17
26,0;1;0,1;0;0,1;0;0,1;1;1,22685,21,2021-11-17
27,,,,,22953,21,2021-11-17
28,0;0;0,0;0;1,1;0;0,2;0;3,22957,21,2021-11-17
29,,,,,23217,21,2021-11-17
30,-1;0;0,0;0;0,0;0;1,1;0;3,23219,21,2021-11-17
31,,,,,23485,21,2021-11-17
32,0;1;0,0;0;0,0;-1;-1,1;-1;0,23487,21,2021-11-17
33,,,,,23755,21,2021-11-17
34,0;0;-2,0;-1;0,2;0;0,2;2;0,23757,21,2021-11-17
35,,,,,24016,21,2021-11-17
36,-1;1;-1,0;1;0,0;-1;0,0;0;0,24019,21,2021-11-17
37,,,,,24293,21,2021-11-17
38,0;0;-1,0;0;-1,-2;0;-1,1;1;0,24295,21,2021-11-17
39,,,,,24556,21,2021-11-17
40,-1;1;-2,-1;0;-1,-1;0;0,1;0;0,24558,21,2021-11-17
41,,,,,24818,21,2021-11-17
42,0;-1;-2,-1;0;-2,-2;1;-1,0;0;-3,24826,21,2021-11-17
43,,,,,25094,21,2021-11-17
44,0;0;1,0;0;-3,-1;0;-3,-1;0;-2,25096,21,2021-11-17
45,,,,,25356,21,2021-11-17
46,0;0;-1,0;0;0,-1;1;0,-1;0;-2,25358,21,2021-11-17
47,,,,,25627,21,2021-11-17
48,0;0;1,0;0;-1,2;-2;-1,0;0;-1,25629,21,2021-11-17
49,,,,,25894,21,2021-11-17
50,0;1;3,0;-2;1,0;0;-1,-1;0;-2,25896,21,2021-11-17
51,,,,,26157,21,2021-11-17
52,1;0;1,0;0;3,1;0;2,0;-1;0,26165,21,2021-11-17
53,,,,,26427,21,2021-11-17
54,0;0;3,0;1;2,0;0;0,-1;0;1,26429,21,2021-11-17
55,,,,,26695,21,2021-11-17
56,1;0;2,0;0;2,0;0;0,-1;1;-2,26697,21,2021-11-17
57,,,,,26962,21,2021-11-17
58,0;0;2,0;0;3,0;0;2,0;0;2,26964,21,2021-11-17
59,,,,,27234,21,2021-11-17
60,0;0;1,0;0;1,0;0;1,0;0;1,27236,21,2021-11-17
61,,,,,27496,21,2021-11-17
62,1;-1;2,0;0;1,0;0;2,0;0;3,27498,21,2021-11-17
63,,,,,27764,21,2021-11-17
64,0;0;-1,2;0;3,0;0;1,1;-1;0,27767,21,2021-11-17
65,,,,,28029,21,2021-11-17
66,1;0;0,1;0;1,0;1;3,0;0;2,28032,21,2021-11-17
67,,,,,28297,21,2021-11-17
68,1;0;0,1;0;1,0;0;1,2;0;1,28332,21,2021-11-17
69,,,,,28605,21,2021-11-17
70,0;1;-2,-1;1;0,1;0;0,0;-1;2,28607,21,2021-11-17
71,,,,,28872,21,2021-11-17
72,0;0;0,1;0;0,1;-1;1,1;0;1,28875,21,2021-11-17
73,,,,,29144,21,2021-11-17
74,-1;0;-1,0;0;0,0;0;3,0;0;2,29146,21,2021-11-17
75,,,,,29411,21,2021-11-17
76,0;0;-2,0;1;-1,-1;1;-1,1;1;0,29413,21,2021-11-17
77,,,,,29679,21,2021-11-17
