,rpm,speed,throt_pos,engine_load,bat_volt
58920,1645.0,25.476211,19,19,14.32
63553,1551.0,25.476211,19,20,14.4
63821,1529.0,25.476211,19,20,14.38
64092,1526.0,25.476211,19,20,14.4
64364,1518.0,24.85484,19,20,14.48
64632,1510.0,24.85484,19,20,14.39
64902,1507.0,24.85484,19,20,14.48
65165,1519.0,25.476211,19,20,14.38
65434,1521.0,25.476211,19,19,14.34
65702,1551.0,26.097582,19,19,14.49
65972,1573.0,26.718953,19,18,14.37
66241,1604.0,27.340324,19,18,14.4
66504,1621.0,27.961695,19,18,14.37
66772,1657.0,28.583066,19,18,14.36
67042,1684.0,28.583066,19,17,14.36
67310,1684.0,29.204437,19,18,14.42
67579,1701.0,29.204437,19,17,14.38
67843,1723.0,29.204437,20,18,14.48
68118,1737.0,29.825808000000002,20,18,14.4
68381,1728.0,29.204437,20,17,14.38
68648,1742.0,29.825808000000002,20,17,14.41
68920,1750.0,29.825808000000002,20,17,14.35
69182,1755.0,29.825808000000002,20,17,14.34
69453,1764.0,29.825808000000002,20,17,14.42
69720,1780.0,30.447179000000002,20,16,14.49
69988,1791.0,30.447179000000002,20,17,14.49
70257,1779.0,30.447179000000002,20,17,14.46
70519,1793.0,30.447179000000002,20,17,14.42
70793,1796.0,30.447179000000002,20,17,14.5
71058,1818.0,30.447179000000002,20,16,14.38
71463,1829.0,30.447179000000002,20,16,14.39
71734,1820.0,30.447179000000002,20,17,14.46
71997,1821.0,30.447179000000002,20,16,14.42
72266,1827.0,30.447179000000002,20,16,14.4
72535,1824.0,30.447179000000002,20,16,14.36
72804,1823.0,30.447179000000002,20,17,14.4
73070,1827.0,29.825808000000002,20,16,14.44
73348,1808.0,29.825808000000002,20,16,14.4
73623,1809.0,29.825808000000002,20,17,14.4
73885,1793.0,29.204437,20,17,14.48
74158,1776.0,28.583066,20,17,14.38
74424,1765.0,28.583066,20,17,14.42
74687,1743.0,27.961695,20,18,14.37
74955,1725.0,27.961695,19,18,14.4
75225,1708.0,27.961695,19,18,14.38
75493,1710.0,27.961695,19,17,14.42
75762,1723.0,27.961695,19,18,14.42
76025,1727.0,27.961695,19,17,14.45
76301,1720.0,27.961695,19,17,14.42
76563,1745.0,27.961695,19,17,14.4
76832,1743.0,28.583066,19,20,14.42
77095,1758.0,28.583066,23,24,14.42
77365,1767.0,28.583066,22,23,14.53
77639,1777.0,28.583066,22,23,14.42
77902,1795.0,29.204437,23,24,14.45
78172,1790.0,29.204437,24,25,14.5
78440,1841.0,29.825808000000002,24,25,14.44
78702,1843.0,29.825808000000002,24,26,14.44
78972,1854.0,29.825808000000002,26,30,14.42
79235,1881.0,29.825808000000002,25,29,14.42
79506,1881.0,29.825808000000002,25,29,14.42
79778,1898.0,30.447179000000002,26,29,14.46
80046,1911.0,30.447179000000002,24,24,14.41
80317,1899.0,30.447179000000002,19,14,14.5
80579,1850.0,30.447179000000002,19,16,14.41
80854,1826.0,31.068550000000002,19,16,14.5
81120,1816.0,31.068550000000002,19,16,14.49
81385,1810.0,31.068550000000002,19,16,14.42
81653,1796.0,31.068550000000002,19,17,14.48
81920,1799.0,31.068550000000002,19,16,14.48
82189,1787.0,30.447179000000002,19,17,14.42
82453,1763.0,30.447179000000002,24,26,14.48
82724,1880.0,30.447179000000002,24,26,14.52
82992,1914.0,30.447179000000002,24,25,14.42
83258,1904.0,30.447179000000002,24,26,14.45
83530,1905.0,30.447179000000002,22,20,14.44
83803,1871.0,29.825808000000002,18,14,14.42
84069,1789.0,29.825808000000002,20,19,14.42
84333,1783.0,29.825808000000002,26,31,14.41
84596,1905.0,30.447179000000002,26,28,14.42
84866,1929.0,29.825808000000002,24,25,14.42
85134,1900.0,29.825808000000002,24,25,14.49
85405,1884.0,29.825808000000002,24,25,14.41
85666,1881.0,29.825808000000002,24,25,14.46
85933,1877.0,29.825808000000002,24,25,14.41
86204,1880.0,29.825808000000002,21,17,14.49
86470,1827.0,29.204437,19,16,14.42
86739,1766.0,29.825808000000002,20,17,14.52
87011,1751.0,29.825808000000002,19,18,14.45
87274,1705.0,29.825808000000002,19,18,14.46
87543,1641.0,29.825808000000002,19,19,14.44
87806,1546.0,29.825808000000002,19,20,14.48
88076,1417.0,29.204437,19,21,14.44
88343,1309.0,29.204437,18,21,14.4
88609,1194.0,29.204437,17,20,14.42
88890,1125.0,28.583066,17,22,14.39
89157,1093.0,28.583066,17,22,14.46
89425,1095.0,28.583066,17,22,14.42
89689,1117.0,28.583066,17,21,14.41
89959,1158.0,27.961695,17,20,14.39
90226,1217.0,27.961695,17,18,14.37
90489,1290.0,27.961695,17,18,14.39
90764,1366.0,27.340324,17,17,14.4
91029,1423.0,27.340324,17,16,14.46
91291,1460.0,26.718953,17,16,14.46
91560,1486.0,26.718953,17,16,14.41
91829,1498.0,26.718953,17,16,14.42
92226,1508.0,26.097582,17,16,14.39
92491,1504.0,25.476211,17,15,14.42
92753,1507.0,25.476211,17,16,14.5
93023,1501.0,24.85484,17,16,14.4
93286,1485.0,24.85484,17,16,14.48
