,utcdate,utctime,alt,speed_mph,n_sats,duration,trip_id
0,2021-11-19,16:33:51.200000,0,0.0,0,57517,25
1,2021-11-19,16:33:51.500000,0,0.0,0,57781,25
2,2021-11-19,16:33:51.800000,0,0.0,0,58048,25
3,2021-11-19,16:33:52,0,0.0,0,58312,25
4,2021-11-19,16:33:52.300000,0,0.0,0,58574,25
5,2021-11-19,16:33:52.500000,0,0.0,0,58844,25
6,2021-11-19,16:33:52.800000,0,0.0,0,59106,25
7,2021-11-19,16:33:53.100000,0,0.0,0,59370,25
8,2021-11-19,16:33:53.300000,0,0.0,0,59639,25
9,2021-11-19,16:33:53.600000,0,0.0,0,59907,25
10,2021-11-19,16:33:53.900000,0,0.0,0,60176,25
11,2021-11-19,16:33:54.100000,0,0.0,0,60444,25
12,2021-11-19,16:33:54.400000,0,0.0,0,60709,25
13,2021-11-19,16:33:54.700000,0,0.0,0,60983,25
14,2021-11-19,16:33:55,0,0.0,0,61246,25
15,2021-11-19,16:33:55.200000,0,0.0,3,61514,25
16,2021-11-19,16:33:55.500000,128,234.256867,3,61786,25
17,2021-11-19,16:33:55.800000,128,167.148799,3,62060,25
18,2021-11-19,16:33:56,128,133.594765,3,62337,25
19,2021-11-19,16:33:56.300000,128,66.486697,3,62611,25
20,2021-11-19,16:33:56.600000,128,100.04073100000001,3,62883,25
21,2021-11-19,16:33:56.800000,128,368.473003,3,63152,25
22,2021-11-19,16:33:57.100000,128,569.797207,3,63429,25
23,2021-11-19,16:33:57.400000,128,1643.5262950000001,3,63700,25
24,2021-11-19,16:33:57.700000,128,1677.0803290000001,3,63970,25
25,2021-11-19,16:33:57.900000,128,2213.944873,3,64245,25
26,2021-11-19,16:33:58.200000,128,3589.660267,3,64514,25
27,2021-11-19,16:33:58.500000,128,4495.6191850000005,3,64789,25
28,2021-11-19,16:33:58.800000,128,5200.253899,3,65064,25
29,2021-11-19,16:33:59,128,6542.415259,3,65333,25
30,2021-11-19,16:33:59.300000,128,6408.199123,3,65602,25
31,2021-11-19,16:33:59.600000,128,7247.049973,3,65865,25
32,2021-11-19,16:33:59.800000,128,7414.820143,3,66142,25
33,2021-11-19,16:34:00.100000,128,8253.049622,3,66416,25
34,2021-11-19,16:34:00.400000,128,10266.291662,3,66693,25
35,2021-11-19,16:34:00.700000,128,11608.453022,3,66967,25
36,2021-11-19,16:34:00.900000,128,12883.506314,3,67241,25
37,2021-11-19,16:34:01.200000,226,15366.50483,5,67515,25
38,2021-11-19,16:34:01.500000,225,15969.856071,5,67786,25
39,2021-11-19,16:34:01.800000,225,18452.854587,5,68067,25
40,2021-11-19,16:34:02,224,18486.408621,5,68342,25
41,2021-11-19,16:34:02.300000,223,19996.340151,5,68618,25
42,2021-11-19,16:34:02.600000,223,23384.676214,5,68887,25
43,2021-11-19,16:34:02.900000,223,22445.784633,5,69169,25
44,2021-11-19,16:34:03.100000,223,22546.446735,5,69444,25
45,2021-11-19,16:34:03.400000,223,22647.108837,5,69719,25
46,2021-11-19,16:34:03.700000,221,21539.825715,5,69988,25
47,2021-11-19,16:34:03.900000,218,23049.757245,5,70257,25
48,2021-11-19,16:34:04.200000,214,22311.568497,5,70539,25
49,2021-11-19,16:34:04.500000,212,24290.635132,5,70815,25
50,2021-11-19,16:34:04.800000,205,24055.756894000002,5,71089,25
51,2021-11-19,16:34:05.100000,202,24626.175472,5,71365,25
52,2021-11-19,16:34:05.300000,198,24290.635132,5,71648,25
53,2021-11-19,16:34:05.600000,195,25532.13439,5,71920,25
54,2021-11-19,16:34:05.900000,196,26370.98524,5,72193,25
55,2021-11-19,16:34:06.200000,198,28082.240974,5,72466,25
56,2021-11-19,16:34:06.400000,199,28921.091824,5,72741,25
57,2021-11-19,16:34:06.700000,199,29390.8483,5,73018,25
58,2021-11-19,16:34:07,199,31604.793173000002,5,73284,25
59,2021-11-19,16:34:07.300000,199,32275.873853,5,73561,25
60,2021-11-19,16:34:07.500000,199,34859.534471,5,73829,25
61,2021-11-19,16:34:07.800000,199,37308.978953,5,74103,25
62,2021-11-19,16:34:08.100000,199,37812.289463,5,74382,25
63,2021-11-19,16:34:08.300000,200,40160.450472,5,74648,25
64,2021-11-19,16:34:08.600000,200,981.76618,5,74925,25
65,2021-11-19,16:34:08.900000,200,2995.00822,5,75199,25
66,2021-11-19,16:34:09.200000,202,5142.466396,5,75500,25
67,2021-11-19,16:34:09.500000,203,8497.248425,5,75771,25
68,2021-11-19,16:34:09.700000,203,7490.627405,5,76042,25
69,2021-11-19,16:34:10,203,10342.720295000001,5,76312,25
70,2021-11-19,16:34:10.300000,203,10309.166261,5,76589,25
71,2021-11-19,16:34:10.600000,204,13194.813185,5,76864,25
72,2021-11-19,16:34:10.800000,205,13530.353525,5,77138,25
73,2021-11-19,16:34:11.100000,205,14167.2588,5,77414,25
