,acc1,acc2,acc3,acc4,duration
44786,0;-1;-3,0;0;-1,0;0;0,0;0;0,44786
49419,,,,,49419
49422,0;0;-2,0;0;-1,-2;-1;0,0;2;0,49422
49696,,,,,49696
49698,0;0;-1,0;0;-3,0;0;-3,0;0;-1,49698
49964,,,,,49964
49966,0;0;1,0;0;-1,0;0;-1,0;0;-3,49966
50231,,,,,50231
50233,1;-1;0,0;1;0,0;1;-3,0;0;-1,50233
50502,,,,,50502
50504,0;1;0,-2;0;-1,-1;0;0,0;0;2,50504
50789,,,,,50789
50791,0;0;0,-1;0;-3,-1;1;-1,-2;0;-1,50791
51058,,,,,51058
51060,0;-2;2,-1;0;-2,0;0;-3,0;0;-2,51060
51321,,,,,51321
51329,1;-1;0,1;-1;1,-1;0;0,-1;1;-3,51329
51590,,,,,51590
51592,0;0;2,0;0;0,0;-1;0,1;1;-2,51592
51859,,,,,51859
51861,0;0;1,0;-1;-2,-1;0;0,0;1;-3,51861
52131,,,,,52131
52133,0;0;3,1;-1;1,1;0;1,0;0;-1,52133
52397,,,,,52397
52399,0;0;3,1;-1;0,-1;0;0,-1;0;-1,52399
52660,,,,,52660
52668,0;0;2,0;0;0,1;-1;1,-1;0;-2,52668
52936,,,,,52936
52938,0;1;0,0;-1;3,1;-1;1,0;0;0,52938
53197,,,,,53197
53200,0;0;2,0;0;3,0;0;0,-1;0;-2,53200
53465,,,,,53465
53467,1;0;1,0;1;1,2;0;1,-1;0;0,53467
53736,,,,,53736
53738,-1;1;0,-2;0;0,2;0;2,0;0;1,53738
53999,,,,,53999
54001,0;1;0,0;0;1,0;0;0,1;0;1,54001
54267,,,,,54267
54269,0;1;0,0;0;2,0;0;2,0;0;0,54269
54532,,,,,54532
54534,0;1;1,0;2;2,0;0;2,0;0;1,54534
54807,,,,,54807
54829,0;0;1,0;0;0,0;-1;0,0;0;-2,54829
55087,,,,,55087
55089,-1;1;-1,0;0;-1,0;0;0,0;-1;1,55089
55350,,,,,55350
55352,2;0;1,0;-1;1,0;0;1,0;1;0,55352
55619,,,,,55619
55621,-2;0;3,1;0;2,0;-1;0,-1;-1;0,55621
55887,,,,,55887
55889,0;0;1,0;0;-2,0;0;-3,-1;0;0,55889
56151,,,,,56151
56158,0;-1;0,0;-1;-1,0;0;-1,-1;0;-3,56158
56428,,,,,56428
56430,0;1;0,0;-1;0,-1;1;-2,-1;1;-1,56430
56689,,,,,56689
56691,-2;-1;0,-2;1;-2,-1;2;-4,-1;0;0,56691
56957,,,,,56957
56960,0;0;2,0;-1;0,2;0;1,0;0;-1,56960
57227,,,,,57227
57229,2;0;2,0;-1;1,-1;-2;0,-2;0;0,57229
57490,,,,,57490
57492,0;0;3,2;-1;1,0;-1;2,0;-1;1,57492
57764,,,,,57764
57766,0;-1;-1,1;0;0,0;-2;3,1;-1;2,57766
58028,,,,,58028
58030,-2;0;-3,2;2;0,1;0;2,0;-1;3,58030
58291,,,,,58291
58299,-1;-1;-1,1;1;1,0;0;0,-2;0;-1,58299
58565,,,,,58565
58568,0;0;-2,-1;0;-1,0;0;0,0;0;4,58568
58827,,,,,58827
58829,0;0;-1,0;0;1,0;0;0,2;0;1,58829
59090,,,,,59090
59092,0;-1;0,1;0;2,0;-1;1,0;-1;0,59092
59357,,,,,59357
59359,0;1;1,1;0;0,0;-1;3,0;-2;0,59359
59628,,,,,59628
59636,-1;0;-2,0;1;0,0;0;1,0;0;1,59636
59900,,,,,59900
59904,0;0;-3,0;1;-3,0;-1;0,0;0;-2,59904
60175,,,,,60175
60177,-1;0;0,0;0;-3,-1;0;-3,0;1;-3,60177
60450,,,,,60450
60453,0;1;2,1;-1;0,0;0;-2,0;1;0,60453
60720,,,,,60720
60722,0;-1;2,0;0;-1,0;0;-2,0;0;-1,60722
60989,,,,,60989
60998,0;1;0,-1;0;0,0;0;2,1;-2;0,60998
61270,,,,,61270
61272,-2;0;0,0;1;2,0;0;1,-2;-1;0,61272
61533,,,,,61533
61535,0;2;3,1;0;1,0;1;1,-1;0;2,61535
61808,,,,,61808
61811,-1;0;0,0;0;-1,0;0;1,0;-1;3,61811
62084,,,,,62084
62086,0;0;-1,0;0;-1,0;0;-2,0;0;0,62086
62370,,,,,62370
62372,0;-1;-3,0;0;0,2;-1;0,1;0;0,62372
62633,,,,,62633
62636,0;1;0,1;0;3,2;-2;2,0;0;0,62636
62898,,,,,62898
62905,0;0;-1,-1;0;0,0;0;0,1;0;3,62905
63171,,,,,63171
63174,0;0;-2,0;0;-2,0;0;0,1;0;2,63174
63448,,,,,63448
63450,0;2;-2,-1;1;-2,0;0;-2,0;0;0,63450
63722,,,,,63722
63725,0;0;-1,0;0;-2,0;0;-2,0;0;-2,63725
63997,,,,,63997
64000,1;0;2,0;-1;0,0;0;-1,0;-1;-1,64000
64272,,,,,64272
64274,0;0;1,0;0;3,1;0;1,0;0;0,64274
64537,,,,,64537
64540,0;0;1,1;0;1,0;2;2,2;0;0,64540
64812,,,,,64812
64820,0;-2;0,0;1;0,0;0;1,0;-1;3,64820
65086,,,,,65086
65089,-1;-1;-2,1;0;1,0;0;1,-1;-1;-1,65089
65348,,,,,65348
65351,0;0;2,1;0;2,0;-1;0,1;-1;2,65351
65620,,,,,65620
65623,0;2;1,0;2;0,0;0;2,1;0;1,65623
65886,,,,,65886
65889,0;1;1,0;-1;3,2;0;2,0;0;0,65889
66149,,,,,66149
66157,0;0;-1,0;0;0,2;0;1,0;0;2,66157
66425,,,,,66425
66427,0;0;-2,-1;0;-1,0;1;0,0;0;1,66427
66697,,,,,66697
66700,1;0;0,0;-1;1,-1;1;0,0;1;0,66700
66983,,,,,66983
66985,0;0;0,0;0;1,1;0;2,0;0;0,66985
67250,,,,,67250
67253,0;0;0,0;0;2,-1;0;0,-1;0;0,67253
67519,,,,,67519
67521,0;0;0,0;1;0,0;-1;3,0;-1;1,67521
67788,,,,,67788
67790,0;0;-1,2;0;1,1;0;2,-2;0;3,67790
68051,,,,,68051
68059,0;0;0,0;0;3,0;1;2,0;0;1,68059
68327,,,,,68327
68330,1;0;-1,0;1;0,0;0;0,0;0;2,68330
68599,,,,,68599
68601,-1;0;-3,-1;0;-3,0;0;-1,0;1;1,68601
68872,,,,,68872
68874,-1;0;-1,0;0;-1,0;0;-3,0;0;-3,68874
69149,,,,,69149
69151,0;0;2,0;-2;1,0;1;-2,0;0;-3,69151
69417,,,,,69417
69425,0;0;0,0;0;2,1;0;3,0;0;0,69425
69690,,,,,69690
69693,0;0;0,0;0;0,1;-1;2,1;-1;2,69693
69953,,,,,69953
69961,0;0;1,1;2;2,0;0;2,-1;0;1,69961
70222,,,,,70222
70224,0;0;0,0;-1;1,0;-1;1,2;0;0,70224
70491,,,,,70491
70494,0;0;2,1;0;2,1;-1;1,1;0;2,70494
70760,,,,,70760
