,index,utcdate,utctime,alt,speed_mph,n_sats,duration
0,49419,2021-11-21,21:45:50.800000,0,0.0,0,49419
1,49696,2021-11-21,21:45:51.100000,0,0.0,0,49696
2,49964,2021-11-21,21:45:51.400000,0,0.0,0,49964
3,50231,2021-11-21,21:45:51.600000,0,0.0,0,50231
4,50502,2021-11-21,21:45:51.900000,0,0.0,0,50502
5,50789,2021-11-21,21:45:52.200000,0,0.0,0,50789
6,51058,2021-11-21,21:45:52.500000,0,0.0,0,51058
7,51321,2021-11-21,21:45:52.700000,0,0.0,0,51321
8,51590,2021-11-21,21:45:53,0,0.0,0,51590
9,51859,2021-11-21,21:45:53.300000,0,0.0,0,51859
10,52131,2021-11-21,21:45:53.500000,0,0.0,0,52131
11,52397,2021-11-21,21:45:53.800000,0,0.0,0,52397
12,52660,2021-11-21,21:45:54.100000,0,0.0,0,52660
13,52936,2021-11-21,21:45:54.300000,0,0.0,0,52936
14,53197,2021-11-21,21:45:54.600000,0,0.0,0,53197
15,53465,2021-11-21,21:45:54.900000,0,0.0,0,53465
16,53736,2021-11-21,21:45:55.100000,0,0.0,0,53736
17,53999,2021-11-21,21:45:55.400000,0,0.0,0,53999
18,54267,2021-11-21,21:45:55.700000,0,0.0,0,54267
19,54532,2021-11-21,21:45:55.900000,0,0.0,0,54532
20,54807,2021-11-21,21:45:56.200000,0,0.0,0,54807
21,55087,2021-11-21,21:45:56.500000,0,0.0,0,55087
22,55350,2021-11-21,21:45:56.700000,0,0.0,0,55350
23,55619,2021-11-21,21:45:57,0,0.0,0,55619
24,55887,2021-11-21,21:45:57.300000,0,0.0,0,55887
25,56151,2021-11-21,21:45:57.500000,0,0.0,0,56151
26,56428,2021-11-21,21:45:57.800000,0,0.0,0,56428
27,56689,2021-11-21,21:45:58.100000,0,0.0,0,56689
28,56957,2021-11-21,21:45:58.400000,0,0.0,0,56957
29,57227,2021-11-21,21:45:58.600000,0,0.0,0,57227
30,57490,2021-11-21,21:45:58.900000,0,0.0,0,57490
31,57764,2021-11-21,21:45:59.200000,0,0.0,0,57764
32,58028,2021-11-21,21:45:59.400000,0,0.0,0,58028
33,58291,2021-11-21,21:45:59.700000,0,0.0,0,58291
34,58565,2021-11-21,21:46:00,0,0.0,0,58565
35,58827,2021-11-21,21:46:00.200000,0,0.0,0,58827
36,59090,2021-11-21,21:46:00.500000,0,0.0,0,59090
37,59357,2021-11-21,21:46:00.800000,0,0.0,0,59357
38,59628,2021-11-21,21:46:01,0,0.0,0,59628
39,59900,2021-11-21,21:46:01.300000,179,1039.553683,5,59900
40,60175,2021-11-21,21:46:01.600000,178,234.256867,5,60175
41,60450,2021-11-21,21:46:01.800000,178,0.0,5,60450
42,60720,2021-11-21,21:46:02.100000,178,100.04073100000001,5,60720
43,60989,2021-11-21,21:46:02.400000,178,267.810901,5,60989
44,61270,2021-11-21,21:46:02.700000,178,0.0,5,61270
45,61533,2021-11-21,21:46:02.900000,178,32.932663,5,61533
46,61808,2021-11-21,21:46:03.200000,178,100.04073100000001,5,61808
47,62084,2021-11-21,21:46:03.500000,178,66.486697,5,62084
48,62370,2021-11-21,21:46:03.800000,178,167.148799,5,62370
49,62633,2021-11-21,21:46:04,178,66.486697,5,62633
50,62898,2021-11-21,21:46:04.300000,178,200.702833,5,62898
51,63171,2021-11-21,21:46:04.600000,178,100.04073100000001,5,63171
52,63448,2021-11-21,21:46:04.800000,178,133.594765,5,63448
53,63722,2021-11-21,21:46:05.100000,178,133.594765,5,63722
54,63997,2021-11-21,21:46:05.400000,178,133.594765,5,63997
55,64272,2021-11-21,21:46:05.700000,178,100.04073100000001,5,64272
56,64537,2021-11-21,21:46:05.900000,178,267.810901,5,64537
57,64812,2021-11-21,21:46:06.200000,178,267.810901,5,64812
58,65086,2021-11-21,21:46:06.500000,178,200.702833,5,65086
59,65348,2021-11-21,21:46:06.700000,178,66.486697,5,65348
60,65620,2021-11-21,21:46:07,178,100.04073100000001,5,65620
61,65886,2021-11-21,21:46:07.300000,178,32.932663,5,65886
62,66149,2021-11-21,21:46:07.500000,178,32.932663,5,66149
63,66425,2021-11-21,21:46:07.800000,178,0.0,5,66425
64,66697,2021-11-21,21:46:08.100000,178,0.0,5,66697
65,66983,2021-11-21,21:46:08.400000,178,167.148799,5,66983
66,67250,2021-11-21,21:46:08.600000,178,301.364935,5,67250
67,67519,2021-11-21,21:46:08.900000,178,100.04073100000001,5,67519
68,67788,2021-11-21,21:46:09.200000,178,100.04073100000001,5,67788
69,68051,2021-11-21,21:46:09.400000,178,100.04073100000001,5,68051
70,68327,2021-11-21,21:46:09.700000,178,334.918969,5,68327
71,68599,2021-11-21,21:46:10,178,536.243173,5,68599
72,68872,2021-11-21,21:46:10.300000,178,334.918969,5,68872
73,69149,2021-11-21,21:46:10.500000,178,32.932663,5,69149
74,69417,2021-11-21,21:46:10.800000,178,133.594765,5,69417
75,69690,2021-11-21,21:46:11.100000,178,334.918969,5,69690
76,69953,2021-11-21,21:46:11.300000,178,66.486697,5,69953
77,70222,2021-11-21,21:46:11.600000,178,0.0,5,70222
78,70491,2021-11-21,21:46:11.900000,178,66.486697,5,70491
79,70760,2021-11-21,21:46:12.100000,178,133.594765,5,70760
80,71029,2021-11-21,21:46:12.400000,178,133.594765,5,71029
81,71292,2021-11-21,21:46:12.700000,178,32.932663,5,71292
82,71567,2021-11-21,21:46:13,178,100.04073100000001,5,71567
83,71830,2021-11-21,21:46:13.200000,178,200.702833,5,71830
84,72105,2021-11-21,21:46:13.500000,178,32.932663,5,72105
85,72380,2021-11-21,21:46:13.800000,178,133.594765,5,72380
86,72656,2021-11-21,21:46:14,177,469.135105,5,72656
87,72929,2021-11-21,21:46:14.300000,177,133.594765,5,72929
88,73194,2021-11-21,21:46:14.600000,177,234.256867,5,73194
89,73469,2021-11-21,21:46:14.900000,177,66.486697,5,73469
90,73732,2021-11-21,21:46:15.100000,177,66.486697,5,73732
91,74001,2021-11-21,21:46:15.400000,177,234.256867,5,74001
92,74270,2021-11-21,21:46:15.700000,177,66.486697,5,74270
93,74546,2021-11-21,21:46:15.900000,177,0.0,5,74546
94,74821,2021-11-21,21:46:16.200000,177,267.810901,5,74821
95,75088,2021-11-21,21:46:16.500000,177,100.04073100000001,5,75088
96,75383,2021-11-21,21:46:16.800000,177,66.486697,5,75383
97,75658,2021-11-21,21:46:17,177,0.0,5,75658
98,75926,2021-11-21,21:46:17.300000,177,100.04073100000001,5,75926
99,76191,2021-11-21,21:46:17.600000,177,100.04073100000001,5,76191
100,76466,2021-11-21,21:46:17.900000,177,133.594765,5,76466
101,76737,2021-11-21,21:46:18.100000,177,66.486697,5,76737
102,77009,2021-11-21,21:46:18.400000,178,133.594765,5,77009
103,77286,2021-11-21,21:46:18.700000,178,133.594765,5,77286
104,77558,2021-11-21,21:46:18.900000,178,167.148799,5,77558
105,77830,2021-11-21,21:46:19.200000,178,100.04073100000001,5,77830
106,78099,2021-11-21,21:46:19.500000,178,167.148799,5,78099
107,78362,2021-11-21,21:46:19.700000,178,234.256867,5,78362
108,78631,2021-11-21,21:46:20,178,435.581071,5,78631
109,78909,2021-11-21,21:46:20.300000,178,100.04073100000001,5,78909
110,79187,2021-11-21,21:46:20.600000,178,0.0,5,79187
111,79450,2021-11-21,21:46:20.800000,178,32.932663,5,79450
112,79727,2021-11-21,21:46:21.100000,178,32.932663,5,79727
113,80001,2021-11-21,21:46:21.400000,178,100.04073100000001,5,80001
114,80270,2021-11-21,21:46:21.700000,178,100.04073100000001,5,80270
115,80550,2021-11-21,21:46:21.900000,178,66.486697,5,80550
116,80827,2021-11-21,21:46:22.200000,178,0.0,5,80827
117,81102,2021-11-21,21:46:22.500000,178,133.594765,5,81102
118,81371,2021-11-21,21:46:22.800000,178,167.148799,5,81371
119,81640,2021-11-21,21:46:23,178,334.918969,5,81640
120,81909,2021-11-21,21:46:23.300000,178,133.594765,5,81909
121,82186,2021-11-21,21:46:23.600000,178,334.918969,5,82186
122,82453,2021-11-21,21:46:23.800000,178,133.594765,5,82453
123,82716,2021-11-21,21:46:24.100000,178,133.594765,5,82716
124,82993,2021-11-21,21:46:24.400000,178,167.148799,5,82993
125,83266,2021-11-21,21:46:24.700000,178,133.594765,5,83266
126,83529,2021-11-21,21:46:24.900000,178,133.594765,5,83529
127,83806,2021-11-21,21:46:25.200000,178,0.0,6,83806
128,84073,2021-11-21,21:46:25.500000,178,133.594765,6,84073
129,84342,2021-11-21,21:46:25.700000,178,100.04073100000001,6,84342
130,84606,2021-11-21,21:46:26,178,167.148799,6,84606
131,84879,2021-11-21,21:46:26.300000,178,32.932663,6,84879
132,85149,2021-11-21,21:46:26.500000,178,200.702833,6,85149
133,85419,2021-11-21,21:46:26.800000,178,100.04073100000001,6,85419
134,85693,2021-11-21,21:46:27.100000,179,100.04073100000001,6,85693
135,85966,2021-11-21,21:46:27.400000,179,100.04073100000001,6,85966
136,86236,2021-11-21,21:46:27.600000,179,133.594765,6,86236
137,86506,2021-11-21,21:46:27.900000,179,32.932663,6,86506
138,86769,2021-11-21,21:46:28.200000,179,267.810901,6,86769
139,87045,2021-11-21,21:46:28.400000,179,200.702833,6,87045
140,87308,2021-11-21,21:46:28.700000,179,32.932663,6,87308
141,87582,2021-11-21,21:46:29,179,32.932663,6,87582
142,87845,2021-11-21,21:46:29.200000,179,133.594765,6,87845
143,88109,2021-11-21,21:46:29.500000,179,100.04073100000001,6,88109
144,88383,2021-11-21,21:46:29.800000,179,133.594765,6,88383
145,88646,2021-11-21,21:46:30,179,234.256867,6,88646
