,rpm,speed,throt_pos,engine_load,bat_volt,duration,trip_id,utcdate
0,890.0,0.0,21,48,14.75,44786,27,2021-11-21
1,891.0,0.0,21,47,14.79,49422,27,2021-11-21
2,902.0,0.0,21,47,14.82,49698,27,2021-11-21
3,899.0,0.0,21,47,14.83,49966,27,2021-11-21
4,899.0,0.0,21,47,14.9,50233,27,2021-11-21
5,901.0,0.0,21,47,14.78,50504,27,2021-11-21
6,901.0,0.0,21,47,14.77,50791,27,2021-11-21
7,917.0,0.0,21,47,14.73,51060,27,2021-11-21
8,911.0,0.0,21,47,14.82,51329,27,2021-11-21
9,897.0,0.0,21,49,14.79,51592,27,2021-11-21
10,907.0,0.0,21,49,14.85,51861,27,2021-11-21
11,907.0,0.0,21,48,14.85,52133,27,2021-11-21
12,904.0,0.0,21,47,14.83,52399,27,2021-11-21
13,903.0,0.0,21,47,14.85,52668,27,2021-11-21
14,902.0,0.0,21,47,14.88,52938,27,2021-11-21
15,906.0,0.0,21,48,14.89,53200,27,2021-11-21
16,899.0,0.0,21,47,14.79,53467,27,2021-11-21
17,908.0,0.0,21,47,14.85,53738,27,2021-11-21
18,910.0,0.0,21,49,14.79,54001,27,2021-11-21
19,909.0,0.0,23,54,14.71,54269,27,2021-11-21
20,896.0,0.0,23,59,14.82,54534,27,2021-11-21
21,890.0,0.0,23,58,14.71,54829,27,2021-11-21
22,874.0,0.0,23,60,14.79,55089,27,2021-11-21
23,892.0,0.0,23,63,14.79,55352,27,2021-11-21
24,869.0,0.0,24,63,14.67,55621,27,2021-11-21
25,883.0,0.0,24,62,14.61,55889,27,2021-11-21
26,884.0,0.0,24,62,14.7,56158,27,2021-11-21
27,895.0,0.0,22,50,14.64,56430,27,2021-11-21
28,928.0,0.0,21,48,14.67,56691,27,2021-11-21
29,907.0,0.0,21,47,14.77,56960,27,2021-11-21
30,911.0,0.0,21,48,14.71,57229,27,2021-11-21
31,905.0,0.0,21,48,14.64,57492,27,2021-11-21
32,912.0,0.0,21,47,14.65,57766,27,2021-11-21
33,906.0,0.0,21,47,14.69,58030,27,2021-11-21
34,900.0,0.0,21,48,14.58,58299,27,2021-11-21
35,898.0,0.0,21,49,14.56,58568,27,2021-11-21
36,889.0,0.0,21,48,14.67,58829,27,2021-11-21
37,885.0,0.0,21,49,14.73,59092,27,2021-11-21
38,903.0,0.0,21,48,14.71,59359,27,2021-11-21
39,905.0,0.0,21,47,14.64,59636,27,2021-11-21
40,907.0,0.0,21,48,14.6,59904,27,2021-11-21
41,902.0,0.0,21,48,14.71,60177,27,2021-11-21
42,886.0,0.0,21,49,14.64,60453,27,2021-11-21
43,894.0,0.0,21,49,14.71,60722,27,2021-11-21
44,892.0,0.0,21,49,14.65,60998,27,2021-11-21
45,902.0,0.0,21,47,14.71,61272,27,2021-11-21
46,901.0,0.0,21,48,14.57,61535,27,2021-11-21
47,900.0,0.0,21,47,14.56,61811,27,2021-11-21
48,907.0,0.0,21,47,14.67,62086,27,2021-11-21
49,908.0,0.0,21,48,14.73,62372,27,2021-11-21
50,907.0,0.0,21,47,14.75,62636,27,2021-11-21
51,890.0,0.0,21,48,14.69,62905,27,2021-11-21
52,886.0,0.0,21,49,14.58,63174,27,2021-11-21
53,899.0,0.0,21,48,14.57,63450,27,2021-11-21
54,894.0,0.0,21,48,14.65,63725,27,2021-11-21
55,908.0,0.0,21,48,14.7,64000,27,2021-11-21
56,898.0,0.0,21,49,14.69,64274,27,2021-11-21
57,890.0,0.0,21,49,14.69,64540,27,2021-11-21
58,885.0,0.0,21,49,14.63,64820,27,2021-11-21
59,890.0,0.0,21,49,14.69,65089,27,2021-11-21
60,899.0,0.0,21,49,14.67,65351,27,2021-11-21
61,906.0,0.0,21,47,14.65,65623,27,2021-11-21
62,910.0,0.0,21,47,14.67,65889,27,2021-11-21
63,907.0,0.0,21,47,14.6,66157,27,2021-11-21
64,892.0,0.0,21,48,14.58,66427,27,2021-11-21
65,884.0,0.0,21,49,14.73,66700,27,2021-11-21
66,885.0,0.0,21,48,14.75,66985,27,2021-11-21
67,888.0,0.0,21,47,14.73,67253,27,2021-11-21
68,890.0,0.0,21,47,14.7,67521,27,2021-11-21
69,895.0,0.0,21,47,14.74,67790,27,2021-11-21
70,897.0,0.0,21,49,14.63,68059,27,2021-11-21
71,900.0,0.0,21,48,14.52,68330,27,2021-11-21
72,891.0,0.0,21,48,14.58,68601,27,2021-11-21
73,904.0,0.0,21,47,14.7,68874,27,2021-11-21
74,899.0,0.0,21,47,14.62,69151,27,2021-11-21
75,898.0,0.0,21,47,14.62,69425,27,2021-11-21
76,907.0,0.0,21,47,14.64,69693,27,2021-11-21
77,886.0,0.0,21,49,14.63,69961,27,2021-11-21
78,885.0,0.0,21,49,14.63,70224,27,2021-11-21
79,892.0,0.0,21,49,14.61,70494,27,2021-11-21
80,899.0,0.0,21,47,14.54,70763,27,2021-11-21
81,911.0,0.0,21,47,14.57,71031,27,2021-11-21
82,914.0,0.0,21,46,14.49,71301,27,2021-11-21
83,905.0,0.0,21,47,14.5,71570,27,2021-11-21
84,897.0,0.0,21,46,14.54,71832,27,2021-11-21
85,900.0,0.0,21,46,14.64,72109,27,2021-11-21
86,903.0,0.0,21,47,14.62,72383,27,2021-11-21
87,913.0,0.0,21,46,14.48,72659,27,2021-11-21
88,909.0,0.0,21,46,14.49,72932,27,2021-11-21
89,909.0,0.0,21,46,14.61,73201,27,2021-11-21
90,895.0,0.0,21,47,14.54,73472,27,2021-11-21
91,901.0,0.0,21,47,14.56,73735,27,2021-11-21
92,888.0,0.0,21,47,14.54,74004,27,2021-11-21
93,902.0,0.0,21,47,14.65,74272,27,2021-11-21
94,895.0,0.0,21,47,14.63,74553,27,2021-11-21
95,906.0,0.0,21,47,14.58,74823,27,2021-11-21
96,899.0,0.0,21,47,14.7,75091,27,2021-11-21
97,889.0,0.0,21,47,14.66,75386,27,2021-11-21
98,896.0,0.0,21,47,14.63,75661,27,2021-11-21
99,911.0,0.0,21,47,14.67,75929,27,2021-11-21
100,909.0,0.0,21,46,14.56,76193,27,2021-11-21
101,912.0,0.0,21,46,14.62,76474,27,2021-11-21
102,912.0,0.0,21,46,14.74,76739,27,2021-11-21
103,897.0,0.0,21,46,14.64,77012,27,2021-11-21
104,897.0,0.0,21,47,14.57,77288,27,2021-11-21
105,894.0,0.0,21,47,14.63,77561,27,2021-11-21
106,897.0,0.0,21,47,14.57,77832,27,2021-11-21
107,903.0,0.0,21,47,14.61,78101,27,2021-11-21
108,911.0,0.0,21,47,14.61,78369,27,2021-11-21
109,903.0,0.0,21,48,14.67,78635,27,2021-11-21
110,892.0,0.0,21,47,14.73,78911,27,2021-11-21
111,885.0,0.0,21,46,14.64,79191,27,2021-11-21
112,898.0,0.0,21,45,14.64,79453,27,2021-11-21
113,893.0,0.0,21,45,14.6,79734,27,2021-11-21
114,888.0,0.0,21,45,14.61,80004,27,2021-11-21
115,895.0,0.0,21,46,14.71,80272,27,2021-11-21
116,910.0,0.0,21,45,14.61,80553,27,2021-11-21
117,914.0,0.0,21,45,14.6,80829,27,2021-11-21
118,914.0,0.0,21,43,14.66,81104,27,2021-11-21
119,916.0,0.0,21,43,14.63,81374,27,2021-11-21
120,910.0,0.0,21,43,14.57,81648,27,2021-11-21
121,899.0,0.0,21,43,14.58,81912,27,2021-11-21
122,917.0,0.0,20,43,14.64,82188,27,2021-11-21
123,914.0,0.0,20,41,14.67,82455,27,2021-11-21
124,906.0,0.0,20,41,14.6,82719,27,2021-11-21
125,915.0,0.0,20,43,14.6,82995,27,2021-11-21
126,915.0,0.0,20,41,14.6,83268,27,2021-11-21
127,909.0,0.0,20,42,14.63,83537,27,2021-11-21
128,908.0,0.0,20,41,14.54,83808,27,2021-11-21
129,913.0,0.0,20,42,14.52,84075,27,2021-11-21
130,898.0,0.0,20,42,14.54,84345,27,2021-11-21
131,891.0,0.0,20,41,14.5,84610,27,2021-11-21
132,907.0,0.0,20,41,14.58,84886,27,2021-11-21
133,911.0,0.0,20,40,14.63,85152,27,2021-11-21
134,896.0,0.0,20,40,14.56,85422,27,2021-11-21
135,899.0,0.0,20,41,14.56,85696,27,2021-11-21
136,907.0,0.0,20,42,14.57,85969,27,2021-11-21
137,907.0,0.0,20,42,14.62,86239,27,2021-11-21
138,898.0,0.0,20,43,14.54,86509,27,2021-11-21
139,917.0,0.0,20,43,14.64,86778,27,2021-11-21
140,916.0,0.0,20,43,14.64,87047,27,2021-11-21
141,907.0,0.0,20,41,14.64,87310,27,2021-11-21
142,912.0,0.0,20,40,14.64,87585,27,2021-11-21
143,906.0,0.0,20,40,14.66,87848,27,2021-11-21
144,910.0,0.0,20,41,14.54,88117,27,2021-11-21
145,897.0,0.0,20,43,14.63,88386,27,2021-11-21
146,881.0,0.0,20,43,14.62,88649,27,2021-11-21
147,877.0,0.0,20,41,14.58,88920,27,2021-11-21
148,889.0,0.0,20,42,14.5,89188,27,2021-11-21
149,902.0,0.0,20,41,14.58,89462,27,2021-11-21
150,894.0,0.0,20,40,14.54,89732,27,2021-11-21
151,913.0,0.0,20,40,14.58,90004,27,2021-11-21
152,925.0,0.0,20,41,14.61,90275,27,2021-11-21
153,921.0,0.0,20,38,14.61,90539,27,2021-11-21
154,917.0,0.0,20,38,14.64,90814,27,2021-11-21
155,932.0,0.0,20,37,14.53,91088,27,2021-11-21
156,924.0,0.0,20,38,14.56,91388,27,2021-11-21
157,915.0,0.0,20,39,14.56,91652,27,2021-11-21
158,909.0,0.0,20,39,14.6,91935,27,2021-11-21
159,910.0,0.0,20,40,14.64,92201,27,2021-11-21
160,901.0,0.0,20,41,14.54,92475,27,2021-11-21
161,903.0,0.0,20,40,14.54,92747,27,2021-11-21
162,904.0,0.0,20,40,14.5,93019,27,2021-11-21
163,905.0,0.0,20,40,14.56,93296,27,2021-11-21
164,901.0,0.0,20,40,14.63,93566,27,2021-11-21
