,acc1,acc2,acc3,acc4
47761,0;0;-1,2;0;0,0;0;0,0;0;1
52403,,,,
52405,0;0;-2,-1;0;1,2;0;-1,1;-1;0
52686,,,,
52688,0;0;-3,0;0;1,4;-1;0,1;0;0
52965,,,,
52967,3;0;0,3;0;0,0;2;0,4;0;-1
53235,,,,
53237,2;0;-1,1;0;-2,-1;0;0,1;1;1
53507,,,,
53509,-1;1;2,1;-1;-1,-1;0;0,4;0;0
53786,,,,
53789,3;0;0,3;0;1,4;-1;0,0;0;0
54047,,,,
54049,4;-2;0,1;1;-1,0;0;0,0;0;0
54310,,,,
54318,-1;0;0,-1;0;0,2;1;1,0;0;0
54587,,,,
54589,1;0;1,2;-2;0,2;-1;-1,-1;1;-1
54848,,,,
54851,-2;0;1,-1;0;0,1;0;2,2;0;2
55120,,,,
55122,-1;0;-2,-2;0;0,-1;0;-1,-1;-1;0
55387,,,,
55389,3;0;2,4;0;2,1;1;-2,2;1;0
55650,,,,
55656,3;-1;2,1;0;0,2;-1;0,-1;0;0
55926,,,,
55928,0;1;-2,1;0;-3,0;2;-1,0;0;0
56187,,,,
56189,3;2;0,1;1;1,1;-1;-2,0;1;-3
56457,,,,
56459,2;-2;0,1;-1;-2,0;-1;2,6;-1;0
56726,,,,
56729,4;0;2,2;0;3,5;0;0,3;0;1
56988,,,,
56990,7;-1;3,3;-1;0,4;0;1,3;-2;0
57257,,,,
57260,5;0;0,4;-1;0,0;1;0,0;0;0
57522,,,,
57524,0;-1;-1,-2;0;1,4;0;4,2;0;4
57797,,,,
57805,0;0;0,-1;2;0,-3;1;-1,-2;1;-2
58072,,,,
58074,-2;0;0,-1;1;-5,-5;1;-2,-2;0;-1
58339,,,,
58342,-1;1;0,-1;0;0,-2;0;0,0;0;-4
58602,,,,
58604,0;0;3,1;0;2,0;0;2,1;-2;0
58871,,,,
58873,4;-1;0,5;0;0,2;0;-3,0;0;1
59141,,,,
59149,0;-1;-1,0;0;-1,-1;-1;-1,0;0;-3
59417,,,,
59419,2;0;2,1;-1;0,2;0;0,0;0;-1
59678,,,,
59680,2;0;4,1;0;2,0;-1;1,4;0;1
59949,,,,
59951,1;1;0,2;1;0,3;0;4,3;2;1
60217,,,,
60220,0;1;-2,2;0;0,2;0;0,1;0;1
60479,,,,
60481,1;0;-2,1;0;-4,1;2;-3,0;0;-2
60754,,,,
60756,2;-1;1,1;0;-4,0;1;-4,0;0;-2
61018,,,,
61020,0;0;0,1;1;-2,0;0;-2,2;2;1
61284,,,,
61286,0;0;0,1;0;-2,1;0;-3,0;0;-3
61555,,,,
61557,1;0;2,0;-1;-1,0;0;-6,0;-1;-4
61817,,,,
61819,1;-1;-2,1;0;-5,1;0;-2,1;0;-1
62095,,,,
62097,2;2;2,2;-1;1,3;-1;1,2;0;0
62362,,,,
62364,0;0;4,2;0;4,2;-1;0,2;0;-3
62628,,,,
62635,1;2;2,2;0;4,2;0;3,2;-2;0
62900,,,,
62903,2;-1;3,2;0;3,1;0;0,1;0;-1
63162,,,,
63164,3;0;3,0;-1;-1,0;0;-3,0;0;-3
63435,,,,
63437,1;0;5,2;0;2,2;-2;1,1;0;-3
63702,,,,
63704,1;0;6,1;0;3,0;2;-1,0;0;-4
63969,,,,
63971,4;-1;3,3;1;5,1;2;3,3;-1;1
64246,,,,
64248,2;4;2,2;-1;2,3;-3;-1,0;0;1
64508,,,,
64510,2;0;5,1;0;1,1;-2;-1,1;-2;0
64777,,,,
64785,-2;-2;-7,-4;0;-6,-3;1;-2,-3;0;-3
65046,,,,
65048,7;-1;2,5;-1;2,7;-1;1,8;0;2
65309,,,,
65311,0;0;1,-1;-2;-1,6;-1;3,5;0;1
65586,,,,
65589,2;2;0,5;0;-1,4;0;0,1;0;0
65847,,,,
65849,5;1;0,1;-1;0,0;0;1,2;0;1
66109,,,,
66117,1;0;0,4;0;0,1;0;-1,-1;0;2
66379,,,,
66381,1;-1;0,0;0;0,3;0;1,5;-1;0
66641,,,,
66643,1;1;2,3;-1;-1,2;-1;0,0;0;0
66910,,,,
66912,2;0;-1,0;-1;0,1;1;2,3;0;0
67173,,,,
67175,-2;0;2,3;1;0,2;-1;-1,1;-1;0
67436,,,,
67438,1;0;0,0;0;0,-1;0;1,0;-1;2
67707,,,,
67709,0;1;-1,-3;-1;-1,-3;-1;0,1;3;0
67975,,,,
67977,0;0;0,-2;0;2,2;1;0,4;0;1
68372,,,,
68374,0;0;-1,4;0;0,1;-1;-1,2;-2;1
68637,,,,
68639,3;-1;0,0;-1;2,3;0;0,0;0;-1
68900,,,,
68902,1;0;0,0;0;1,1;0;1,0;0;1
69175,,,,
69177,0;0;0,2;1;0,1;0;0,1;1;0
69438,,,,
69440,1;0;1,1;0;0,0;0;4,3;0;0
69700,,,,
69706,2;-1;-1,2;-1;2,3;-2;0,1;0;0
69976,,,,
69979,2;2;-2,-1;0;3,3;0;-1,-1;0;2
70238,,,,
70240,0;0;0,1;0;-2,-1;0;3,0;0;0
70508,,,,
70510,0;0;1,0;2;-2,1;-1;-1,1;-1;-4
70776,,,,
70778,1;-4;0,6;0;0,4;0;1,0;0;-1
71040,,,,
71047,6;0;-1,0;-2;1,0;1;0,1;0;0
71316,,,,
71318,0;1;-3,3;2;-3,0;1;0,1;1;-3
71577,,,,
71579,6;1;2,0;1;2,2;-1;0,6;1;-1
71845,,,,
71847,3;0;0,6;-1;1,9;-2;2,3;0;4
72116,,,,
72118,7;1;0,4;0;2,4;-1;-1,4;0;3
72378,,,,
72380,2;0;1,2;0;0,0;0;0,0;-1;2
72653,,,,
72656,0;0;-1,0;-1;-2,-4;0;0,-6;-1;-1
72916,,,,
72920,1;0;0,0;2;0,-6;2;-5,-6;1;-2
73179,,,,
73187,-4;0;0,-2;2;0,0;0;0,0;0;-1
73454,,,,
73456,9;-1;3,5;-2;3,1;-3;4,2;0;4
73717,,,,
73719,1;0;2,7;0;5,3;0;5,2;0;2
73988,,,,
73990,0;0;-4,0;0;-7,0;0;-4,0;-2;-6
74255,,,,
74257,3;0;7,2;-2;2,1;-3;-2,0;-3;-2
74518,,,,
74526,1;0;3,2;2;3,3;-2;4,2;0;6
74793,,,,
74796,-1;0;-5,0;-1;-4,0;0;-5,-1;0;-3
75062,,,,
75064,1;-2;1,1;-2;1,0;-1;-3,0;-1;-4
75330,,,,
75332,4;0;4,2;-1;2,4;0;4,1;-1;4
75601,,,,
75604,0;0;-1,0;1;-1,0;0;-1,3;2;1
75871,,,,
75879,0;-2;0,0;-1;-4,0;0;-6,0;0;-4
76146,,,,
76149,2;-1;4,1;-2;1,1;-3;0,1;-2;-2
76418,,,,
76421,3;2;5,3;0;3,2;-2;3,2;-1;3
76691,,,,
76693,0;0;-1,1;-2;-3,0;0;-3,0;0;0
76971,,,,
76974,2;-1;5,5;-3;0,4;-2;2,0;-1;0
77244,,,,
77252,1;0;0,0;0;0,4;0;0,3;0;1
77520,,,,
77523,2;-2;0,1;-2;-4,0;0;-2,0;0;0
77788,,,,
77790,0;-1;2,1;-1;5,2;0;1,1;0;2
78072,,,,
78075,2;-1;-1,0;0;0,1;0;1,2;0;3
78336,,,,
78339,1;-1;-2,0;0;2,1;1;1,1;1;2
78605,,,,
78607,-1;0;0,0;0;0,1;-1;-3,0;0;0
78874,,,,
78877,0;-3;0,1;0;-1,1;-1;-3,0;0;-1
79143,,,,
79151,2;-1;1,1;-2;-1,1;-2;-3,0;0;-2
79412,,,,
79414,2;-2;0,1;-1;3,1;-4;-1,2;-2;-6
79680,,,,
79683,2;0;4,1;1;2,0;0;0,3;0;0
79963,,,,
79965,0;-2;-1,1;-2;-3,0;0;-1,2;1;0
80238,,,,
80240,1;-2;-2,0;0;-1,0;0;1,2;-1;2
80505,,,,
80507,0;-1;-1,0;0;-4,1;-1;-2,1;-2;-3
80776,,,,
80778,0;0;1,0;0;-2,1;0;-2,2;0;-3
81039,,,,
81047,2;0;4,1;-2;2,0;0;-1,1;0;-1
81313,,,,
81316,1;0;3,1;-1;0,1;0;0,1;0;0
81576,,,,
81579,3;-3;0,2;0;1,1;0;1,2;-1;-3
81840,,,,
81842,2;-1;2,4;0;0,1;-2;0,1;-2;3
82116,,,,
82119,2;0;1,1;-1;0,2;-2;4,2;-1;3
82390,,,,
82392,1;-1;0,1;0;-1,0;0;1,1;0;0
82658,,,,
82661,2;0;-2,1;-3;-1,1;0;-1,1;0;2
82922,,,,
82929,0;-1;1,2;-2;-1,4;-4;-7,-1;2;0
83190,,,,
83193,0;0;-1,0;0;-1,0;-3;0,1;0;0
83460,,,,
83462,0;-1;-1,0;-1;-2,1;0;0,0;0;0
83728,,,,
83731,0;0;0,2;0;-2,1;-1;0,2;1;1
83991,,,,
83994,0;0;-2,1;-2;-3,0;-1;0,0;0;-1
84260,,,,
84268,0;-1;0,1;0;-2,1;0;-4,1;0;0
84530,,,,
84532,0;0;-1,2;0;-2,1;-1;-1,0;-1;-2
84799,,,,
84802,1;-2;0,1;-3;2,1;0;3,2;0;0
85080,,,,
85082,1;0;-1,2;-2;2,1;-2;2,1;-1;0
85343,,,,
85345,1;0;0,2;-3;1,0;0;-1,0;-1;0
85611,,,,
85614,1;1;0,2;1;0,2;-2;3,1;-1;1
85880,,,,
85882,2;2;2,1;0;3,1;-1;3,4;0;1
86155,,,,
86164,2;0;-4,3;1;1,2;0;2,2;-1;2
86427,,,,
86430,2;-1;-3,0;1;1,3;-1;4,2;-2;2
86696,,,,
86699,1;0;-2,0;0;-4,2;-1;-2,2;0;1
86969,,,,
86972,0;-2;-1,1;0;-4,-1;-1;-1,0;0;-1
87238,,,,
87241,2;-2;-1,1;-1;-1,2;-1;-4,0;-1;-2
87513,,,,
87516,1;-1;3,4;-1;1,1;-1;-1,1;0;-2
87782,,,,
87785,0;-3;1,-3;0;-2,0;-2;-2,0;0;-3
88046,,,,
88053,5;-1;4,4;-1;1,6;-2;2,4;0;-1
88322,,,,
88324,2;-1;2,3;-1;1,0;-1;1,0;0;0
88596,,,,
88599,0;0;0,1;1;0,2;-1;0,3;0;-1
89008,,,,
89011,2;0;-2,0;0;0,0;0;0,1;0;3
89271,,,,
89274,0;1;-1,0;-3;-2,0;-2;0,1;0;3
89544,,,,
89547,2;-2;1,1;0;-4,1;-1;-4,1;0;-1
89822,,,,
89825,2;-3;0,3;0;1,2;0;3,0;0;2
90097,,,,
90105,0;0;0,2;-1;-4,1;0;-2,1;-1;-1
90386,,,,
90389,0;-2;0,1;0;-2,0;3;-4,0;0;-3
90660,,,,
90662,2;-1;3,0;0;-1,2;0;-3,0;-3;1
90924,,,,
90926,0;0;-4,1;1;-3,1;0;0,0;0;0
91198,,,,
91201,0;1;-1,1;-3;-3,0;0;0,1;0;0
91461,,,,
91469,2;-2;0,1;-1;-1,0;0;-1,0;0;-1
91736,,,,
91739,0;-1;0,0;2;-1,0;-1;0,2;0;1
91999,,,,
92006,0;0;-1,2;-2;-3,2;0;0,1;0;0
92275,,,,
92277,0;-1;-1,2;-1;1,0;0;-1,2;-1;-4
92544,,,,
92546,2;-2;0,0;0;-2,2;-1;-3,1;0;-3
92812,,,,
92815,3;-4;2,1;0;-2,0;-1;-1,1;-1;0
93075,,,,
93077,0;0;0,1;0;-1,0;-1;1,2;0;-1
93338,,,,
93345,1;0;0,1;0;0,0;0;0,1;0;0
93613,,,,
93616,0;0;0,2;-1;-2,0;0;0,2;0;3
93876,,,,
93879,1;-1;-3,0;0;0,3;0;-3,1;0;0
94151,,,,
94153,0;0;-1,0;-1;-2,1;0;0,1;0;0
94419,,,,
94423,1;-3;-1,1;-1;0,1;-2;0,0;0;-2
94693,,,,
94696,1;1;2,3;-1;1,0;0;0,0;-2;0
94959,,,,
94961,2;0;2,2;-1;2,2;-1;1,0;-2;0
95226,,,,
95378,1;0;-1,1;0;0,1;-1;1,1;-3;3
95641,,,,
95643,2;-1;0,0;-1;0,1;-2;0,0;1;0
95916,,,,
95919,1;0;-1,1;0;0,2;0;0,1;0;1
96190,,,,
96192,1;0;-2,2;-2;0,0;0;-2,0;0;-2
96466,,,,
96470,1;-3;0,1;-3;3,0;1;-2,0;0;-2
96742,,,,
96744,1;0;0,0;0;2,2;0;0,2;-1;2
97015,,,,
97018,1;0;-2,0;0;1,1;0;2,0;-3;0
97278,,,,
97287,0;0;-2,0;-2;-1,0;1;3,2;1;2
97549,,,,
97552,3;-1;-1,1;-1;-1,1;1;0,3;-2;2
97817,,,,
97819,1;-1;0,1;0;2,1;-2;0,2;-2;2
98087,,,,
98091,1;0;-1,2;-1;0,2;0;2,2;-1;0
98355,,,,
98358,1;0;0,3;0;2,2;-2;2,0;-2;-2
98618,,,,
98625,0;0;0,2;0;2,0;0;2,3;0;2
98892,,,,
98895,1;-2;1,2;-1;1,2;-1;2,2;0;2
99155,,,,
99159,2;-1;0,2;0;2,2;0;1,1;0;-1
99431,,,,
99433,0;0;-3,1;0;0,1;-1;0,0;0;1
99694,,,,
99696,0;0;-2,2;0;-1,0;0;1,1;0;2
