,utcdate,utctime,alt,speed_mph,n_sats,duration
36328,2021-11-24,19:47:49.600000,232,267.810901,12,36328
36602,2021-11-24,19:47:49.800000,232,536.243173,12,36602
36874,2021-11-24,19:47:50.100000,232,502.689139,12,36874
37141,2021-11-24,19:47:50.400000,232,200.702833,12,37141
37404,2021-11-24,19:47:50.600000,232,200.702833,12,37404
37680,2021-11-24,19:47:50.900000,232,100.04073100000001,12,37680
37954,2021-11-24,19:47:51.200000,232,167.148799,12,37954
38222,2021-11-24,19:47:51.500000,232,334.918969,12,38222
38492,2021-11-24,19:47:51.700000,232,0.0,12,38492
38760,2021-11-24,19:47:52,232,66.486697,12,38760
39030,2021-11-24,19:47:52.300000,232,133.594765,12,39030
39302,2021-11-24,19:47:52.500000,232,66.486697,12,39302
39580,2021-11-24,19:47:52.800000,232,100.04073100000001,12,39580
39856,2021-11-24,19:47:53.100000,232,133.594765,12,39856
40131,2021-11-24,19:47:53.400000,232,167.148799,12,40131
40393,2021-11-24,19:47:53.600000,232,469.135105,12,40393
40666,2021-11-24,19:47:53.900000,232,1341.539989,12,40666
40933,2021-11-24,19:47:54.200000,232,3388.336063,12,40933
41204,2021-11-24,19:47:54.400000,233,4965.375661,12,41204
41483,2021-11-24,19:47:54.700000,233,7883.955248,12,41483
41759,2021-11-24,19:47:55,233,11507.79092,12,41759
42034,2021-11-24,19:47:55.300000,232,13386.816824,12,42034
42309,2021-11-24,19:47:55.500000,232,14024.34347,12,42309
42592,2021-11-24,19:47:55.800000,233,14997.410456,12,42592
42860,2021-11-24,19:47:56.100000,232,14192.11364,12,42860
43132,2021-11-24,19:47:56.400000,232,13084.830518,12,43132
43397,2021-11-24,19:47:56.600000,232,10836.71024,12,43397
43666,2021-11-24,19:47:56.900000,232,15030.96449,12,43666
43935,2021-11-24,19:47:57.200000,232,16137.626241,12,43935
44204,2021-11-24,19:47:57.400000,232,16271.842377,12,44204
44481,2021-11-24,19:47:57.700000,232,12715.736144,12,44481
44754,2021-11-24,19:47:58,232,10870.264274000001,12,44754
45030,2021-11-24,19:47:58.300000,232,8890.576268,12,45030
45302,2021-11-24,19:47:58.500000,232,8286.603656,12,45302
45568,2021-11-24,19:47:58.800000,232,6374.645089,12,45568
45843,2021-11-24,19:47:59.100000,231,5334.470035,12,45843
46107,2021-11-24,19:47:59.300000,231,4562.727253,12,46107
46383,2021-11-24,19:47:59.600000,231,2079.728737,12,46383
46654,2021-11-24,19:47:59.900000,231,1408.648057,12,46654
46929,2021-11-24,19:48:00.200000,231,771.121411,12,46929
47201,2021-11-24,19:48:00.400000,231,100.04073100000001,12,47201
47463,2021-11-24,19:48:00.700000,231,167.148799,12,47463
47739,2021-11-24,19:48:01,230,301.364935,12,47739
48012,2021-11-24,19:48:01.200000,230,267.810901,12,48012
48290,2021-11-24,19:48:01.500000,230,100.04073100000001,12,48290
48563,2021-11-24,19:48:01.800000,230,435.581071,12,48563
48833,2021-11-24,19:48:02.100000,230,133.594765,12,48833
49102,2021-11-24,19:48:02.300000,230,536.243173,12,49102
49366,2021-11-24,19:48:02.600000,230,972.445615,12,49366
49641,2021-11-24,19:48:02.900000,230,1643.5262950000001,12,49641
49914,2021-11-24,19:48:03.200000,230,2750.809417,12,49914
50192,2021-11-24,19:48:03.400000,230,3287.673961,12,50192
50464,2021-11-24,19:48:03.700000,230,3354.782029,12,50464
50736,2021-11-24,19:48:04,230,5066.037763,12,50736
51005,2021-11-24,19:48:04.200000,230,5535.794239,12,51005
51279,2021-11-24,19:48:04.500000,230,6978.617701,12,51279
51555,2021-11-24,19:48:04.800000,229,7012.171735,12,51555
51830,2021-11-24,19:48:05.100000,229,7515.482245,12,51830
52106,2021-11-24,19:48:05.300000,229,7850.401214,12,52106
52381,2021-11-24,19:48:05.600000,229,9159.00854,12,52381
52657,2021-11-24,19:48:05.900000,229,8722.806098000001,12,52657
52932,2021-11-24,19:48:06.200000,229,9360.332744,12,52932
53207,2021-11-24,19:48:06.400000,229,9964.305356,12,53207
53482,2021-11-24,19:48:06.700000,229,10031.413424,12,53482
53745,2021-11-24,19:48:07,229,9561.656948,12,53745
54020,2021-11-24,19:48:07.300000,229,9159.00854,12,54020
54283,2021-11-24,19:48:07.500000,229,8756.360132,12,54283
54577,2021-11-24,19:48:07.800000,229,7347.712075,12,54577
54846,2021-11-24,19:48:08.100000,229,6173.320885,12,54846
55121,2021-11-24,19:48:08.400000,229,4931.821627,12,55121
55397,2021-11-24,19:48:08.600000,228,4327.849015,12,55397
55671,2021-11-24,19:48:08.900000,228,3992.308675,12,55671
55947,2021-11-24,19:48:09.200000,228,2348.161009,12,55947
56212,2021-11-24,19:48:09.400000,228,1442.202091,12,56212
56493,2021-11-24,19:48:09.700000,228,804.675445,12,56493
56760,2021-11-24,19:48:10,228,334.918969,12,56760
