,index,acc1,acc2,acc3,acc4,duration
0,52842,-1;-1;0,0;1;0,0;0;0,0;-2;0,52842
1,57480,,,,,57480
2,57483,0;0;0,1;1;0,1;0;0,1;1;1,57483
3,57743,,,,,57743
4,57745,0;0;0,0;0;1,1;0;0,0;-1;0,57745
5,58015,,,,,58015
6,58018,0;0;-1,0;0;0,0;0;0,-1;0;0,58018
7,58280,,,,,58280
8,58284,0;-1;0,0;-1;0,0;0;0,0;0;0,58284
9,58544,,,,,58544
10,58546,0;0;0,1;0;0,1;0;0,0;0;-1,58546
11,58809,,,,,58809
12,58811,-1;0;0,1;1;-1,0;0;-3,0;-1;0,58811
13,59070,,,,,59070
14,59072,0;1;0,0;0;-1,0;0;-3,0;0;0,59072
15,59332,,,,,59332
16,59340,0;1;0,2;0;0,0;0;0,1;0;0,59340
17,59609,,,,,59609
18,59611,0;1;0,1;0;0,0;-1;2,0;0;0,59611
19,59871,,,,,59871
20,59873,0;0;1,0;-1;0,1;1;-2,1;0;-2,59873
21,60139,,,,,60139
22,60141,0;1;0,0;0;-1,0;0;0,0;0;-2,60141
23,60403,,,,,60403
24,60405,1;0;1,0;0;-2,1;-2;-1,0;0;-2,60405
25,60670,,,,,60670
26,60679,0;0;2,1;0;0,0;0;1,0;0;-1,60679
27,60940,,,,,60940
28,60942,1;0;1,2;0;2,0;0;0,0;0;-1,60942
29,61204,,,,,61204
30,61206,0;1;0,1;0;0,1;0;0,0;0;0,61206
31,61476,,,,,61476
32,61478,0;0;-1,0;0;0,2;0;1,2;0;0,61478
33,61741,,,,,61741
34,61743,0;0;0,1;0;0,0;0;0,1;0;0,61743
35,62011,,,,,62011
36,62013,0;1;-2,0;0;0,0;0;-1,0;0;1,62013
37,62287,,,,,62287
38,62290,0;0;-1,0;-1;0,0;0;-1,0;0;-1,62290
39,62560,,,,,62560
40,62562,0;0;0,0;0;-2,0;0;-2,0;0;0,62562
41,62823,,,,,62823
42,62829,0;0;0,0;0;-1,0;-1;0,-1;0;-1,62829
43,63097,,,,,63097
44,63100,0;-1;1,0;0;0,0;0;-1,0;0;-1,63100
45,63361,,,,,63361
46,63363,0;0;0,0;1;-1,0;0;-1,0;1;0,63363
47,63630,,,,,63630
48,63632,0;0;0,0;0;1,0;0;-1,1;0;-2,63632
49,63899,,,,,63899
50,63901,0;0;2,0;0;-1,0;0;0,0;0;-2,63901
51,64161,,,,,64161
52,64164,-1;0;0,-2;1;-1,1;0;0,0;0;-2,64164
53,64438,,,,,64438
54,64440,1;1;1,1;0;1,1;-1;0,0;0;0,64440
55,64712,,,,,64712
56,64714,0;0;2,0;1;2,1;0;1,0;0;-1,64714
57,64975,,,,,64975
58,64984,0;2;-1,0;0;0,0;0;2,0;0;0,64984
59,65246,,,,,65246
60,65249,0;0;0,-1;2;1,0;0;2,0;-1;0,65249
61,65521,,,,,65521
62,65524,0;0;0,0;0;0,0;0;0,0;0;1,65524
63,65798,,,,,65798
64,65801,1;0;0,0;0;0,0;0;-1,0;-2;0,65801
65,66066,,,,,66066
66,66068,0;0;0,1;0;-2,-1;0;0,0;-1;1,66068
67,66334,,,,,66334
68,66337,1;0;0,0;0;0,0;0;0,0;-1;-2,66337
69,66604,,,,,66604
70,66607,0;0;0,0;-1;0,0;0;-2,0;0;-1,66607
71,66867,,,,,66867
72,66874,0;1;0,0;0;0,0;0;1,0;-1;0,66874
73,67149,,,,,67149
74,67152,0;1;0,1;0;1,0;1;1,0;0;1,67152
75,67418,,,,,67418
76,67420,0;-1;0,0;-1;-1,0;0;-1,1;0;-2,67420
77,67698,,,,,67698
78,67701,0;-1;0,-1;0;-1,0;0;0,0;0;-1,67701
79,67962,,,,,67962
80,67965,3;0;-2,0;0;1,-1;0;-1,0;0;-2,67965
81,68235,,,,,68235
82,68238,0;0;1,0;0;0,0;-1;1,2;1;2,68238
83,68505,,,,,68505
84,68508,1;1;2,0;0;0,0;1;2,1;0;0,68508
85,68769,,,,,68769
86,68777,0;0;0,0;0;0,0;-1;0,0;0;1,68777
87,69044,,,,,69044
88,69046,0;1;0,-1;0;-1,1;0;-1,0;0;-1,69046
89,69318,,,,,69318
90,69321,0;-1;-1,0;0;0,0;0;0,1;0;0,69321
91,69594,,,,,69594
92,69596,0;0;0,1;0;1,1;2;0,0;0;-1,69596
93,69862,,,,,69862
94,69865,1;0;0,0;-1;0,0;0;-1,0;0;0,69865
95,70140,,,,,70140
96,70149,0;0;1,0;0;2,0;0;1,0;0;-2,70149
97,70415,,,,,70415
98,70418,0;0;2,1;1;2,0;2;1,0;-2;0,70418
99,70682,,,,,70682
100,70685,-1;0;0,0;0;0,0;0;0,0;0;0,70685
101,70959,,,,,70959
102,70961,0;1;0,1;0;-2,1;1;-1,1;0;0,70961
103,71228,,,,,71228
104,71231,0;0;0,1;-1;0,0;0;-2,1;0;0,71231
105,71500,,,,,71500
106,71503,0;-1;2,-1;0;0,1;0;-1,1;0;1,71503
107,71770,,,,,71770
108,71772,0;0;2,1;0;0,0;-1;0,0;0;1,71772
109,72048,,,,,72048
110,72055,0;0;0,0;0;-1,0;-1;-1,0;-1;-2,72055
111,72322,,,,,72322
112,72324,0;0;1,1;0;0,1;0;-2,0;0;0,72324
113,72584,,,,,72584
114,72587,0;0;0,1;0;0,0;0;-2,0;-1;-1,72587
115,72853,,,,,72853
116,72856,0;0;0,0;0;1,0;1;2,1;0;0,72856
117,73122,,,,,73122
118,73125,0;0;-1,0;1;0,0;0;0,-1;0;0,73125
119,73397,,,,,73397
120,73404,0;0;0,1;0;0,0;0;1,0;0;0,73404
121,73689,,,,,73689
122,73691,0;-1;0,2;0;1,0;0;1,0;-2;-1,73691
123,73961,,,,,73961
124,73964,0;0;1,0;0;-2,-1;0;0,0;0;1,73964
125,74361,,,,,74361
126,74364,1;0;0,0;0;0,0;0;-2,0;1;-2,74364
127,74637,,,,,74637
128,74640,0;0;0,0;0;0,0;0;0,0;0;-1,74640
129,74909,,,,,74909
130,74912,0;1;-2,0;0;-1,0;0;1,0;0;0,74912
131,75174,,,,,75174
132,75176,0;1;0,0;0;0,0;-1;0,0;0;0,75176
133,75438,,,,,75438
