,utcdate,utctime,alt,speed_mph,n_sats,duration
55451,2021-11-28,22:38:46.700000,0,0.0,0,55451
55714,2021-11-28,22:38:47,0,0.0,0,55714
55986,2021-11-28,22:38:47.200000,0,0.0,0,55986
56253,2021-11-28,22:38:47.500000,0,0.0,0,56253
56515,2021-11-28,22:38:47.800000,0,0.0,0,56515
56791,2021-11-28,22:38:48,0,0.0,0,56791
57065,2021-11-28,22:38:48.300000,0,0.0,0,57065
57328,2021-11-28,22:38:48.600000,0,0.0,0,57328
57601,2021-11-28,22:38:48.800000,0,0.0,0,57601
57869,2021-11-28,22:38:49.100000,0,0.0,0,57869
58135,2021-11-28,22:38:49.400000,0,0.0,0,58135
58404,2021-11-28,22:38:49.600000,0,0.0,0,58404
58669,2021-11-28,22:38:49.900000,0,0.0,0,58669
58942,2021-11-28,22:38:50.200000,0,0.0,0,58942
59205,2021-11-28,22:38:50.400000,0,0.0,0,59205
59472,2021-11-28,22:38:50.700000,0,0.0,0,59472
59741,2021-11-28,22:38:51,0,0.0,0,59741
60007,2021-11-28,22:38:51.200000,0,0.0,0,60007
60281,2021-11-28,22:38:51.500000,0,0.0,0,60281
60551,2021-11-28,22:38:51.800000,0,0.0,0,60551
60814,2021-11-28,22:38:52.100000,0,0.0,0,60814
61089,2021-11-28,22:38:52.300000,0,0.0,0,61089
61351,2021-11-28,22:38:52.600000,0,0.0,0,61351
61621,2021-11-28,22:38:52.900000,0,0.0,0,61621
61890,2021-11-28,22:38:53.100000,0,0.0,0,61890
62152,2021-11-28,22:38:53.400000,0,0.0,0,62152
62429,2021-11-28,22:38:53.700000,0,0.0,0,62429
62690,2021-11-28,22:38:53.900000,0,0.0,0,62690
62961,2021-11-28,22:38:54.200000,244,167.148799,5,62961
63232,2021-11-28,22:38:54.500000,244,66.486697,5,63232
63500,2021-11-28,22:38:54.700000,244,0.0,5,63500
63774,2021-11-28,22:38:55,244,100.04073100000001,5,63774
64037,2021-11-28,22:38:55.300000,244,267.810901,5,64037
64306,2021-11-28,22:38:55.500000,244,133.594765,5,64306
64575,2021-11-28,22:38:55.800000,244,66.486697,5,64575
64844,2021-11-28,22:38:56.100000,244,66.486697,5,64844
65125,2021-11-28,22:38:56.400000,244,100.04073100000001,5,65125
65389,2021-11-28,22:38:56.600000,244,167.148799,5,65389
65664,2021-11-28,22:38:56.900000,245,133.594765,5,65664
65933,2021-11-28,22:38:57.200000,245,301.364935,5,65933
66209,2021-11-28,22:38:57.400000,245,334.918969,5,66209
66477,2021-11-28,22:38:57.700000,245,334.918969,5,66477
66740,2021-11-28,22:38:58,245,334.918969,5,66740
67015,2021-11-28,22:38:58.200000,245,368.473003,5,67015
67280,2021-11-28,22:38:58.500000,245,636.905275,5,67280
67553,2021-11-28,22:38:58.800000,245,234.256867,5,67553
67816,2021-11-28,22:38:59,245,234.256867,5,67816
68100,2021-11-28,22:38:59.300000,245,704.013343,5,68100
68366,2021-11-28,22:38:59.600000,246,435.581071,5,68366
68629,2021-11-28,22:38:59.900000,246,569.797207,5,68629
68901,2021-11-28,22:39:00.100000,246,66.486697,8,68901
69170,2021-11-28,22:39:00.400000,246,100.04073100000001,8,69170
69450,2021-11-28,22:39:00.700000,246,100.04073100000001,8,69450
69722,2021-11-28,22:39:00.900000,246,334.918969,8,69722
69997,2021-11-28,22:39:01.200000,246,167.148799,8,69997
70262,2021-11-28,22:39:01.500000,247,368.473003,8,70262
70526,2021-11-28,22:39:01.800000,247,267.810901,8,70526
70806,2021-11-28,22:39:02,247,66.486697,8,70806
71070,2021-11-28,22:39:02.300000,247,133.594765,8,71070
71344,2021-11-28,22:39:02.600000,247,133.594765,8,71344
71613,2021-11-28,22:39:02.800000,247,32.932663,8,71613
71885,2021-11-28,22:39:03.100000,247,32.932663,8,71885
72160,2021-11-28,22:39:03.400000,248,100.04073100000001,8,72160
72431,2021-11-28,22:39:03.700000,248,200.702833,8,72431
72709,2021-11-28,22:39:03.900000,248,0.0,8,72709
72982,2021-11-28,22:39:04.200000,248,301.364935,8,72982
73265,2021-11-28,22:39:04.500000,248,167.148799,8,73265
73534,2021-11-28,22:39:04.800000,248,200.702833,8,73534
73797,2021-11-28,22:39:05,248,133.594765,8,73797
74072,2021-11-28,22:39:05.300000,248,267.810901,8,74072
74335,2021-11-28,22:39:05.600000,248,234.256867,8,74335
74609,2021-11-28,22:39:05.800000,248,100.04073100000001,8,74609
74872,2021-11-28,22:39:06.100000,248,133.594765,8,74872
75141,2021-11-28,22:39:06.400000,248,167.148799,8,75141
75405,2021-11-28,22:39:06.600000,248,100.04073100000001,8,75405
75673,2021-11-28,22:39:06.900000,248,133.594765,8,75673
75949,2021-11-28,22:39:07.200000,248,32.932663,8,75949
76212,2021-11-28,22:39:07.400000,248,100.04073100000001,8,76212
76475,2021-11-28,22:39:07.700000,248,100.04073100000001,8,76475
76749,2021-11-28,22:39:08,248,133.594765,8,76749
77019,2021-11-28,22:39:08.200000,248,200.702833,10,77019
77289,2021-11-28,22:39:08.500000,248,167.148799,10,77289
77559,2021-11-28,22:39:08.800000,248,66.486697,10,77559
77834,2021-11-28,22:39:09.100000,248,267.810901,10,77834
78102,2021-11-28,22:39:09.300000,248,267.810901,10,78102
78376,2021-11-28,22:39:09.600000,248,133.594765,10,78376
78652,2021-11-28,22:39:09.900000,248,200.702833,10,78652
78914,2021-11-28,22:39:10.100000,248,167.148799,10,78914
79190,2021-11-28,22:39:10.400000,248,100.04073100000001,10,79190
79453,2021-11-28,22:39:10.700000,248,100.04073100000001,10,79453
79728,2021-11-28,22:39:11,248,32.932663,10,79728
79996,2021-11-28,22:39:11.200000,248,301.364935,10,79996
80272,2021-11-28,22:39:11.500000,248,100.04073100000001,10,80272
80535,2021-11-28,22:39:11.800000,248,32.932663,10,80535
80803,2021-11-28,22:39:12,248,66.486697,10,80803
81080,2021-11-28,22:39:12.300000,248,167.148799,10,81080
81354,2021-11-28,22:39:12.600000,248,167.148799,10,81354
81640,2021-11-28,22:39:12.900000,248,301.364935,10,81640
81910,2021-11-28,22:39:13.100000,248,100.04073100000001,10,81910
82192,2021-11-28,22:39:13.400000,249,66.486697,10,82192
82469,2021-11-28,22:39:13.700000,249,66.486697,10,82469
82742,2021-11-28,22:39:14,249,200.702833,10,82742
83012,2021-11-28,22:39:14.200000,249,32.932663,10,83012
83281,2021-11-28,22:39:14.500000,249,66.486697,10,83281
83556,2021-11-28,22:39:14.800000,249,267.810901,10,83556
83831,2021-11-28,22:39:15.100000,249,32.932663,10,83831
84109,2021-11-28,22:39:15.300000,249,100.04073100000001,10,84109
84382,2021-11-28,22:39:15.600000,249,167.148799,10,84382
84652,2021-11-28,22:39:15.900000,249,301.364935,10,84652
84926,2021-11-28,22:39:16.100000,249,32.932663,10,84926
85190,2021-11-28,22:39:16.400000,249,334.918969,10,85190
85465,2021-11-28,22:39:16.700000,250,133.594765,10,85465
85734,2021-11-28,22:39:17,250,32.932663,10,85734
85996,2021-11-28,22:39:17.200000,250,133.594765,10,85996
86273,2021-11-28,22:39:17.500000,250,66.486697,10,86273
86548,2021-11-28,22:39:17.800000,250,66.486697,10,86548
86831,2021-11-28,22:39:18.100000,250,100.04073100000001,10,86831
87098,2021-11-28,22:39:18.300000,250,32.932663,10,87098
87378,2021-11-28,22:39:18.600000,250,133.594765,10,87378
87648,2021-11-28,22:39:18.900000,250,66.486697,10,87648
87921,2021-11-28,22:39:19.100000,250,66.486697,10,87921
88211,2021-11-28,22:39:19.400000,250,66.486697,10,88211
88486,2021-11-28,22:39:19.700000,250,469.135105,10,88486
88756,2021-11-28,22:39:20,250,435.581071,10,88756
89024,2021-11-28,22:39:20.200000,250,267.810901,10,89024
89291,2021-11-28,22:39:20.500000,250,234.256867,10,89291
89563,2021-11-28,22:39:20.800000,250,167.148799,10,89563
89839,2021-11-28,22:39:21.100000,250,66.486697,10,89839
90114,2021-11-28,22:39:21.300000,250,133.594765,10,90114
90388,2021-11-28,22:39:21.600000,250,334.918969,10,90388
90651,2021-11-28,22:39:21.900000,250,100.04073100000001,10,90651
90913,2021-11-28,22:39:22.100000,250,334.918969,10,90913
91176,2021-11-28,22:39:22.400000,250,66.486697,10,91176
91452,2021-11-28,22:39:22.700000,250,402.027037,10,91452
91729,2021-11-28,22:39:23,250,334.918969,10,91729
