,rpm,speed,throt_pos,engine_load,bat_volt,duration
50804,1324.0,0.0,24,38,14.65,50804
55454,1323.0,0.0,24,38,14.66,55454
55716,1326.0,0.0,24,38,14.67,55716
55988,1319.0,0.0,23,37,14.67,55988
56255,1312.0,0.0,23,37,14.67,56255
56518,1303.0,0.0,23,38,14.64,56518
56793,1289.0,0.0,23,39,14.65,56793
57068,1276.0,0.0,23,38,14.67,57068
57336,1272.0,0.0,23,38,14.64,57336
57603,1247.0,0.0,23,37,14.67,57603
57871,1244.0,0.0,23,38,14.67,57871
58138,1226.0,0.0,23,38,14.67,58138
58406,1219.0,0.0,23,39,14.64,58406
58677,1206.0,0.0,23,39,14.64,58677
58945,1198.0,0.0,23,38,14.67,58945
59207,1197.0,0.0,23,39,14.67,59207
59475,1177.0,0.0,22,38,14.66,59475
59743,1178.0,0.0,22,39,14.63,59743
60010,1168.0,0.0,22,39,14.65,60010
60283,1155.0,0.0,22,39,14.66,60283
60553,1148.0,0.0,22,40,14.69,60553
60821,1142.0,0.0,22,39,14.58,60821
61091,1126.0,0.0,22,39,14.62,61091
61353,1121.0,0.0,22,40,14.63,61353
61623,1102.0,0.0,22,40,14.62,61623
61892,1097.0,0.0,22,40,14.67,61892
62159,1096.0,0.0,21,40,14.64,62159
62431,1076.0,0.0,21,41,14.57,62431
62693,1057.0,0.0,21,41,14.63,62693
62963,1048.0,0.0,21,40,14.67,62963
63234,1046.0,0.0,21,40,14.6,63234
63507,1047.0,0.0,21,40,14.67,63507
63776,1023.0,0.0,21,41,14.71,63776
64039,1017.0,0.0,21,41,14.71,64039
64309,999.0,0.0,21,42,14.7,64309
64578,986.0,0.0,21,41,14.61,64578
64847,982.0,0.0,21,41,14.67,64847
65128,982.0,0.0,21,41,14.58,65128
65397,974.0,0.0,21,41,14.61,65397
65667,970.0,0.0,21,41,14.65,65667
65936,957.0,0.0,21,41,14.65,65936
66211,961.0,0.0,21,42,14.67,66211
66480,962.0,0.0,21,42,14.67,66480
66748,955.0,0.0,21,40,14.65,66748
67017,954.0,0.0,21,41,14.61,67017
67282,963.0,0.0,20,41,14.7,67282
67556,959.0,0.0,20,41,14.65,67556
67819,954.0,0.0,20,41,14.56,67819
68103,945.0,0.0,20,41,14.66,68103
68369,933.0,0.0,20,41,14.67,68369
68636,940.0,0.0,20,41,14.63,68636
68903,922.0,0.0,20,41,14.71,68903
69173,929.0,0.0,20,41,14.54,69173
69452,934.0,0.0,20,41,14.64,69452
69725,926.0,0.0,20,43,14.62,69725
70000,919.0,0.0,20,42,14.63,70000
70264,921.0,0.0,20,41,14.64,70264
70536,924.0,0.0,20,42,14.73,70536
70808,922.0,0.0,20,42,14.67,70808
71072,919.0,0.0,20,41,14.54,71072
71347,922.0,0.0,20,41,14.58,71347
71615,915.0,0.0,20,41,14.66,71615
71888,912.0,0.0,20,41,14.63,71888
72163,907.0,0.0,20,41,14.64,72163
72438,902.0,0.0,20,41,14.74,72438
72712,905.0,0.0,20,41,14.58,72712
72984,896.0,0.0,20,41,14.58,72984
73268,911.0,0.0,20,42,14.62,73268
73536,903.0,0.0,20,41,14.63,73536
73804,895.0,0.0,20,41,14.67,73804
74075,894.0,0.0,20,41,14.64,74075
74338,894.0,0.0,20,41,14.66,74338
74612,904.0,0.0,20,41,14.69,74612
74875,904.0,0.0,20,41,14.64,74875
75143,903.0,0.0,20,42,14.66,75143
75407,907.0,0.0,20,42,14.69,75407
75682,904.0,0.0,20,41,14.61,75682
75952,897.0,0.0,20,42,14.58,75952
76214,895.0,0.0,20,41,14.64,76214
76477,896.0,0.0,20,41,14.62,76477
76752,902.0,0.0,20,41,14.62,76752
77021,900.0,0.0,20,41,14.64,77021
77291,910.0,0.0,20,41,14.73,77291
77568,898.0,0.0,20,41,14.7,77568
77837,896.0,0.0,20,41,14.67,77837
78104,895.0,0.0,20,41,14.57,78104
78380,910.0,0.0,20,41,14.57,78380
78654,911.0,0.0,20,41,14.54,78654
78922,894.0,0.0,20,41,14.63,78922
79193,900.0,0.0,20,41,14.62,79193
79461,901.0,0.0,20,41,14.71,79461
79731,910.0,0.0,20,40,14.67,79731
80000,908.0,0.0,20,40,14.6,80000
80274,910.0,0.0,20,39,14.6,80274
80538,909.0,0.0,20,40,14.56,80538
