,utcdate,utctime,alt,speed_mph,n_sats
49395,2021-11-29,20:19:20.600000,0,0.0,0
49666,,20:19:20.900000,0,0.0,0
49940,,20:19:21.100000,0,0.0,0
50207,,20:19:21.400000,0,0.0,0
50470,,20:19:21.700000,0,0.0,0
50745,,20:19:22,0,0.0,0
51008,,20:19:22.200000,0,0.0,0
51275,,20:19:22.500000,0,0.0,0
51546,,20:19:22.800000,0,0.0,0
51809,,20:19:23,0,0.0,0
52096,,20:19:23.300000,0,0.0,0
52359,,20:19:23.600000,0,0.0,0
52627,,20:19:23.800000,0,0.0,0
52891,,20:19:24.100000,0,0.0,0
53159,,20:19:24.400000,0,0.0,0
53429,,20:19:24.600000,0,0.0,0
53692,,20:19:24.900000,0,0.0,0
53961,,20:19:25.200000,0,0.0,0
54228,,20:19:25.400000,0,0.0,0
54495,,20:19:25.700000,0,0.0,0
54775,,20:19:26,0,0.0,0
55036,,20:19:26.200000,0,0.0,0
55304,,20:19:26.500000,0,0.0,0
55575,,20:19:26.800000,0,0.0,0
55847,,20:19:27.100000,0,0.0,0
56125,,20:19:27.300000,0,0.0,0
56388,,20:19:27.600000,0,0.0,0
56651,,20:19:27.900000,0,0.0,0
56926,,20:19:28.100000,0,0.0,0
57189,,20:19:28.400000,0,0.0,0
57464,,20:19:28.700000,0,0.0,0
57726,,20:19:28.900000,0,0.0,0
57990,,20:19:29.200000,0,0.0,0
58266,,20:19:29.500000,0,0.0,0
58535,,20:19:29.700000,0,0.0,0
58805,,20:19:30,0,0.0,0
59066,,20:19:30.300000,0,0.0,0
59328,,20:19:30.500000,0,0.0,0
59604,,20:19:30.800000,0,0.0,0
59866,,20:19:31.100000,0,0.0,0
60136,,20:19:31.300000,0,0.0,0
60404,,20:19:31.600000,0,0.0,0
60666,,20:19:31.900000,0,0.0,0
60944,,20:19:32.100000,0,0.0,0
61205,,20:19:32.400000,0,0.0,0
61474,,20:19:32.700000,0,0.0,0
61736,,20:19:32.900000,0,0.0,0
62001,,20:19:33.200000,0,0.0,0
62280,,20:19:33.500000,0,0.0,0
62552,,20:19:33.800000,0,0.0,0
62822,,20:19:34,0,0.0,0
63088,,20:19:34.300000,0,0.0,0
63357,,20:19:34.600000,0,0.0,0
